"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.834551000E-2,-3.892099857E-1,2.414440066E-1,-9.083549976E-1,1.017294659E0
3.335628000E-2,-2.900550067E-1,2.315459996E-1,-5.037040114E-1,6.256701911E-1
3.836704900E-2,-1.764999926E-1,2.154719979E-1,-1.783269942E-1,3.307279034E-1
4.337779800E-2,1.623100042E-2,2.212840021E-1,3.305999935E-2,2.243279263E-1
4.838856700E-2,2.441979945E-1,1.518480033E-1,-7.663200051E-2,2.975952622E-1
5.339933700E-2,3.870350122E-1,6.117200106E-2,-3.007330000E-1,4.939417493E-1
5.841009200E-2,4.100669920E-1,-4.622599855E-2,-5.096309781E-1,6.557556822E-1
6.342086100E-2,3.587889969E-1,-1.734260023E-1,-7.367659807E-1,8.376337105E-1
6.843163000E-2,2.745800018E-1,-2.949239910E-1,-9.669560194E-1,1.047558247E0
7.344239900E-2,2.021940053E-1,-3.563530147E-1,-1.135244012E0,1.206917086E0
7.845318300E-2,1.219170019E-1,-3.529160023E-1,-1.222671032E0,1.278412262E0
8.346387700E-2,5.744599923E-2,-3.086470068E-1,-1.236466050E0,1.275700322E0
8.847465900E-2,-5.568999797E-3,-2.333700061E-1,-1.140673041E0,1.164314202E0
9.348542900E-2,-5.274400115E-2,-1.396930069E-1,-1.018877029E0,1.029760393E0
9.849619800E-2,-3.785200045E-2,-3.794600070E-2,-8.947709799E-1,8.963747985E-1
1.035069660E-1,2.957499959E-2,7.812400162E-2,-7.637509704E-1,7.683056586E-1
1.085177350E-1,1.289449930E-1,2.051209956E-1,-6.090880036E-1,6.555071550E-1
1.135285040E-1,2.475859970E-1,3.402459919E-1,-4.235889912E-1,5.970710128E-1
1.185390360E-1,3.295019865E-1,4.198830128E-1,-2.525950074E-1,5.904892389E-1
1.235498030E-1,4.198789895E-1,4.915080070E-1,-8.643800020E-2,6.521886343E-1
1.285605720E-1,5.259820223E-1,6.038820148E-1,8.010400087E-2,8.048274514E-1
1.335713370E-1,6.041749716E-1,5.939810276E-1,9.856700152E-2,8.529691150E-1
1.385821060E-1,6.292930245E-1,5.376120210E-1,1.554429978E-1,8.421394905E-1
1.435928750E-1,6.099100113E-1,4.200789928E-1,2.696399987E-1,7.881385100E-1
1.486036580E-1,5.518440008E-1,2.433779985E-1,4.480380118E-1,7.513339546E-1
1.536144280E-1,1.983080059E-1,4.451699927E-2,7.610909939E-1,7.877609596E-1
1.586251890E-1,-1.667349935E-1,-1.418240070E-1,1.013298988E0,1.036672295E0
1.636359590E-1,-1.194150001E-1,-3.486239910E-1,9.356179833E-1,1.005574284E0
1.686467280E-1,-9.765999764E-2,-4.938910007E-1,9.037569761E-1,1.034525238E0
1.736574870E-1,-1.196139976E-1,-5.788130164E-1,1.018267989E0,1.177370678E0
1.786681800E-1,-1.399859935E-1,-5.781310201E-1,1.262725949E0,1.395818175E0
1.836789380E-1,-1.113860011E-1,-4.914489985E-1,1.486420989E0,1.569514675E0
1.886897070E-1,-9.517000057E-3,-3.742249906E-1,1.598536015E0,1.641783270E0
1.937002380E-1,8.449000120E-2,-2.721869946E-1,1.646986961E0,1.671463542E0
1.987112360E-1,1.333539933E-1,-1.950380057E-1,1.655833006E0,1.672604572E0
2.037220070E-1,1.830109954E-1,-1.618359983E-1,1.567661047E0,1.586582829E0
2.087327610E-1,1.736859977E-1,-1.674170047E-1,1.363237977E0,1.384417950E0
2.137435310E-1,1.358900070E-1,-2.114450037E-1,1.116593957E0,1.144533594E0
2.187542850E-1,9.893599898E-2,-1.881929934E-1,8.081619740E-1,8.356618400E-1
2.237650540E-1,7.347299904E-2,-1.172650009E-1,4.794540107E-1,4.990245589E-1
2.287755930E-1,3.055400029E-2,-3.468399867E-2,1.304650009E-1,1.384111381E-1
2.337863500E-1,-2.303799987E-2,3.429099917E-2,-1.744509935E-1,1.792756849E-1
2.387971190E-1,-9.428499639E-2,9.050700068E-2,-4.737269878E-1,4.914249045E-1
2.438078930E-1,-1.759870052E-1,1.348890066E-1,-7.316449881E-1,7.645069383E-1
2.488186630E-1,-2.614440024E-1,1.761559993E-1,-8.480780125E-1,9.047763357E-1
2.538294320E-1,-3.208990097E-1,1.947460026E-1,-8.379459977E-1,9.181806331E-1
2.588401960E-1,-3.575359881E-1,2.339749932E-1,-7.468640208E-1,8.604546158E-1
2.638509650E-1,-3.718610108E-1,2.634150088E-1,-6.181060076E-1,7.679343167E-1
2.688617400E-1,-3.899979889E-1,2.722229958E-1,-4.016529918E-1,6.225182058E-1
2.738725100E-1,-3.791010082E-1,2.747130096E-1,-1.549980044E-1,4.931624412E-1
2.788831840E-1,-3.303529918E-1,2.307289988E-1,7.380700111E-2,4.096540534E-1
2.838939510E-1,-2.254170030E-1,1.614950001E-1,2.608340085E-1,3.806938932E-1
2.889047160E-1,-1.114989966E-1,7.391099632E-2,4.110159874E-1,4.322372075E-1
2.939154850E-1,-6.222100183E-2,-4.005999770E-3,5.224189758E-1,5.261264937E-1
2.989262400E-1,-1.056319997E-1,3.460000083E-2,6.702150106E-1,6.793698845E-1
3.039370090E-1,-9.187299758E-2,-1.099070013E-1,6.763020158E-1,6.913064539E-1
3.089477790E-1,3.010199964E-2,-2.144739926E-1,6.268690228E-1,6.632269564E-1
3.139585350E-1,1.680089980E-1,-2.682949901E-1,5.962420106E-1,6.750657452E-1
3.189693050E-1,2.559599876E-1,-3.006579876E-1,5.822730064E-1,7.035286738E-1
