"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.222406000E-3,-2.517019033E0,-3.163959980E-1,-4.022800177E-2,2.537145943E0
4.531425200E-2,-1.714926004E0,-3.685550094E-1,5.476599932E-2,1.754936839E0
5.032571500E-2,-1.614956021E0,-4.028339982E-1,5.787200108E-2,1.665445090E0
5.533711400E-2,-1.517812014E0,-4.271929860E-1,4.975499958E-2,1.577568609E0
6.034872700E-2,-1.425670981E0,-4.465700090E-1,1.680099964E-2,1.494069876E0
6.536019100E-2,-1.331532955E0,-4.442180097E-1,-1.007799990E-2,1.403713367E0
7.037157500E-2,-1.274763942E0,-4.417679906E-1,-3.334699944E-2,1.349553292E0
7.538318900E-2,-1.237908959E0,-4.488269985E-1,-5.553099886E-2,1.317933215E0
8.039465200E-2,-1.227249026E0,-4.797759950E-1,-7.925699651E-2,1.320078350E0
8.540625600E-2,-1.219027042E0,-4.915739894E-1,-1.089679971E-1,1.318918474E0
9.041764200E-2,-1.206151962E0,-4.817759991E-1,-1.259060055E-1,1.304899610E0
9.542909300E-2,-1.170338035E0,-4.335969985E-1,-1.325130016E-1,1.255092494E0
1.004407080E-1,-1.160825014E0,-4.092999995E-1,-1.406839937E-1,1.238883848E0
1.054521720E-1,-1.172075987E0,-4.089460075E-1,-1.644439995E-1,1.252214353E0
1.104635470E-1,-1.161730051E0,-3.990339935E-1,-1.892350018E-1,1.242841392E0
1.154751600E-1,-1.176731944E0,-4.059329927E-1,-2.267439961E-1,1.265263808E0
1.204866070E-1,-1.207111955E0,-4.199700058E-1,-2.393810004E-1,1.300306633E0
1.254982210E-1,-1.206065059E0,-4.362559915E-1,-2.325460017E-1,1.303453052E0
1.305096080E-1,-1.237064958E0,-4.595220089E-1,-2.114530057E-1,1.336488892E0
1.355210670E-1,-1.317926049E0,-4.920989871E-1,-1.788360029E-1,1.418122985E0
1.405326820E-1,-1.289597988E0,-4.981769919E-1,-1.673559994E-1,1.392570040E0
1.455440590E-1,-1.252859950E0,-4.992919862E-1,-1.508270055E-1,1.357092233E0
1.505555190E-1,-1.217208028E0,-5.217490196E-1,-1.318590045E-1,1.330865966E0
1.555671340E-1,-1.171110988E0,-5.178470016E-1,-1.452099979E-1,1.288701830E0
1.605785940E-1,-1.084748030E0,-5.043039918E-1,-1.436520070E-1,1.204838870E0
1.655902070E-1,-9.918749928E-1,-4.859560132E-1,-1.462440044E-1,1.114161818E0
1.706016080E-1,-9.205170274E-1,-4.555439949E-1,-1.250530034E-1,1.034654620E0
1.756130670E-1,-8.421229720E-1,-4.250890017E-1,-1.109659970E-1,9.498343076E-1
1.806244540E-1,-7.660620213E-1,-3.945670128E-1,-8.759199828E-2,8.661446220E-1
1.856360670E-1,-7.130690217E-1,-3.830859959E-1,-5.758899823E-2,8.115040374E-1
1.906475310E-1,-6.591969728E-1,-3.667579889E-1,-3.744500130E-2,7.552841846E-1
1.956591290E-1,-6.206610203E-1,-3.671450019E-1,-2.203899994E-2,7.214577410E-1
2.006705930E-1,-5.945990086E-1,-3.747189939E-1,-2.278400026E-2,7.031937258E-1
2.056822060E-1,-5.691350102E-1,-3.871839941E-1,-5.311999843E-2,6.903968709E-1
2.106935790E-1,-5.373839736E-1,-3.926819861E-1,-1.145460010E-1,6.753528438E-1
2.157050380E-1,-5.063589811E-1,-4.247010052E-1,-1.782760024E-1,6.845090903E-1
2.207166540E-1,-4.808070064E-1,-4.448670149E-1,-2.188140005E-1,6.906240693E-1
2.257280250E-1,-4.511939883E-1,-4.962210059E-1,-2.507410049E-1,7.160184030E-1
2.307394850E-1,-4.463219941E-1,-5.307570100E-1,-2.397930026E-1,7.337622300E-1
2.357508710E-1,-4.576509893E-1,-5.580049753E-1,-2.263080031E-1,7.563261814E-1
2.407624850E-1,-4.707979858E-1,-5.898609757E-1,-1.894049942E-1,7.781137230E-1
2.457739440E-1,-4.787839949E-1,-6.096339822E-1,-1.644939929E-1,7.924304258E-1
2.507855580E-1,-4.839879870E-1,-6.461250186E-1,-1.695740074E-1,8.249104529E-1
2.557969440E-1,-4.887450039E-1,-6.969699860E-1,-1.898040026E-1,8.721607648E-1
2.608084040E-1,-5.024099946E-1,-7.262809873E-1,-2.198870033E-1,9.100825069E-1
2.658200230E-1,-5.248379707E-1,-7.627059817E-1,-2.339649945E-1,9.549423693E-1
