"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.649248900E-2,1.468880028E-1,-1.186880022E-1,7.258579731E-1,7.500218159E-1
3.150333500E-2,4.575969875E-1,6.613899767E-2,8.138449788E-1,9.360090916E-1
3.651411000E-2,7.138389945E-1,1.835789979E-1,8.096500039E-1,1.094897478E0
4.152511000E-2,8.848099709E-1,2.811230123E-1,7.287080288E-1,1.180226344E0
4.653595300E-2,8.917819858E-1,2.932780087E-1,5.880810022E-1,1.107757359E0
5.154672200E-2,7.626019716E-1,2.496760041E-1,3.952789903E-1,8.945084428E-1
5.655772000E-2,5.193129778E-1,1.841589957E-1,1.770420074E-1,5.787437922E-1
6.156854400E-2,2.134740055E-1,7.617899776E-2,-5.035199970E-2,2.321846562E-1
6.657931400E-2,-1.259739995E-1,-4.957899824E-2,-2.611280084E-1,2.941349390E-1
7.159040200E-2,-4.806190133E-1,-1.405809969E-1,-4.338789880E-1,6.625772626E-1
7.660117400E-2,-7.395799756E-1,-2.368189991E-1,-5.461969972E-1,9.494171572E-1
8.161194300E-2,-8.880029917E-1,-3.256010115E-1,-5.757769942E-1,1.107286990E0
8.662294100E-2,-9.598150253E-1,-4.025270045E-1,-5.829030275E-1,1.192916096E0
9.163378900E-2,-9.477620125E-1,-4.845879972E-1,-5.967440009E-1,1.220320352E0
9.664455300E-2,-9.245600104E-1,-5.286970139E-1,-5.457659960E-1,1.196742356E0
1.016555510E-1,-8.499910235E-1,-5.292559862E-1,-3.379809856E-1,1.056800731E0
1.066663950E-1,-7.218189836E-1,-4.737469852E-1,5.428000167E-2,8.651041380E-1
1.116773930E-1,-5.496680140E-1,-4.365479946E-1,4.756799936E-1,8.479271983E-1
1.166881550E-1,-3.682920039E-1,-4.389519989E-1,9.169129729E-1,1.081224888E0
1.216989990E-1,-1.648370028E-1,-3.876799941E-1,1.339272976E0,1.403965498E0
1.267097790E-1,1.136699971E-2,-3.399569988E-1,1.651659012E0,1.686320688E0
1.317207770E-1,1.474409997E-1,-3.018569946E-1,1.846843958E0,1.877149195E0
