"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.652123600E-2,-2.606120110E0,-1.519519985E-1,-3.220700100E-2,2.610744860E0
5.153231500E-2,-2.508975983E0,-2.216659933E-1,6.395900249E-2,2.519560884E0
5.654345300E-2,-2.416804075E0,-2.659139931E-1,1.479749978E-1,2.435887680E0
6.155476100E-2,-2.340940952E0,-3.065890074E-1,2.089159936E-1,2.370157643E0
6.656585300E-2,-2.294744015E0,-3.487229943E-1,2.568599880E-1,2.335259059E0
7.157700500E-2,-2.235431910E0,-4.093990028E-1,2.502770126E-1,2.286351230E0
7.658831300E-2,-2.165607929E0,-4.670220017E-1,2.606360018E-1,2.230672181E0
8.159939700E-2,-2.094785929E0,-5.265700221E-1,2.479359955E-1,2.174138067E0
8.661054800E-2,-2.053164959E0,-5.835890174E-1,2.036249936E-1,2.144184140E0
9.162162700E-2,-2.003087044E0,-6.094350219E-1,1.592289954E-1,2.099791091E0
9.663292800E-2,-1.914919019E0,-5.945349932E-1,1.126009971E-1,2.008249410E0
1.016440840E-1,-1.815351963E0,-5.606369972E-1,5.013699830E-2,1.900613141E0
1.066551800E-1,-1.737138033E0,-5.366190076E-1,-2.550200000E-2,1.818312090E0
1.116664860E-1,-1.679674983E0,-5.081660151E-1,-1.000880003E-1,1.757713957E0
1.166775830E-1,-1.621431947E0,-4.896000028E-1,-1.715150028E-1,1.702400399E0
1.216887350E-1,-1.567101955E0,-4.808329940E-1,-2.330970019E-1,1.655700190E0
1.267000430E-1,-1.518805981E0,-4.698410034E-1,-2.852309942E-1,1.615202432E0
1.317111410E-1,-1.483376026E0,-4.708699882E-1,-3.261339962E-1,1.590121494E0
1.367222930E-1,-1.462779045E0,-4.573079944E-1,-3.188639879E-1,1.565416040E0
1.417336160E-1,-1.440269947E0,-4.794130027E-1,-3.184719980E-1,1.551012173E0
1.467446940E-1,-1.425147057E0,-4.894129932E-1,-3.293760121E-1,1.542419453E0
1.517558410E-1,-1.405825973E0,-4.993619919E-1,-3.464089930E-1,1.531570519E0
1.567669200E-1,-1.393875957E0,-5.116680264E-1,-3.695150018E-1,1.530109698E0
1.617782400E-1,-1.382256985E0,-5.073320270E-1,-4.100019932E-1,1.528437696E0
1.667893190E-1,-1.354737043E0,-5.173130035E-1,-4.326770008E-1,1.513319063E0
1.718004910E-1,-1.328070998E0,-5.175840259E-1,-4.380210042E-1,1.491149959E0
1.768117980E-1,-1.288172960E0,-5.464429855E-1,-4.452199936E-1,1.468404016E0
1.818228770E-1,-1.251796961E0,-5.704230070E-1,-4.541890025E-1,1.448677220E0
1.868340480E-1,-1.206992984E0,-6.253139973E-1,-4.439300001E-1,1.430008218E0
1.918453560E-1,-1.149489999E0,-6.705549955E-1,-4.403820038E-1,1.401751607E0
1.968564350E-1,-1.095916033E0,-7.109349966E-1,-4.316079915E-1,1.375771049E0
2.018675820E-1,-1.029885054E0,-7.487040162E-1,-3.873960078E-1,1.330900670E0
2.068786610E-1,-1.023172975E0,-8.342019916E-1,-3.762190044E-1,1.372704133E0
2.118899660E-1,-1.016072989E0,-9.197559953E-1,-3.899669945E-1,1.424931460E0
2.169011220E-1,-9.695590138E-1,-9.767069817E-1,-3.928779960E-1,1.431207298E0
2.219121990E-1,-9.105269909E-1,-1.017060041E0,-3.921490014E-1,1.420299746E0
2.269235090E-1,-8.589119911E-1,-1.051095963E0,-4.093450010E-1,1.417778495E0
2.319345880E-1,-8.153240085E-1,-1.059044957E0,-4.278419912E-1,1.403345371E0
2.369457260E-1,-7.718840241E-1,-1.083956003E0,-4.235660136E-1,1.396486209E0
2.419570330E-1,-7.188689709E-1,-1.094694018E0,-4.324580133E-1,1.379183644E0
2.469681120E-1,-6.777349710E-1,-1.105589032E0,-4.426079988E-1,1.370238534E0
2.519792690E-1,-6.364489794E-1,-1.109493017E0,-4.514349997E-1,1.356405403E0
2.569903480E-1,-6.212059855E-1,-1.111184001E0,-4.804109931E-1,1.360669498E0
2.620016540E-1,-6.200929880E-1,-1.127378941E0,-5.176849961E-1,1.386901707E0
2.670128100E-1,-6.236079931E-1,-1.148537040E0,-5.606889725E-1,1.422109836E0
2.720241150E-1,-6.340889931E-1,-1.191341996E0,-5.929620266E-1,1.474099240E0
2.770351940E-1,-6.683470011E-1,-1.243839025E0,-6.072149873E-1,1.537053440E0
2.820463410E-1,-6.953349710E-1,-1.294069052E0,-5.914139748E-1,1.583627457E0
2.870574200E-1,-7.247269750E-1,-1.344426990E0,-5.407109857E-1,1.620210322E0
2.920687360E-1,-7.398549914E-1,-1.356631994E0,-5.052959919E-1,1.625779756E0
2.970798920E-1,-7.480499744E-1,-1.414427996E0,-4.612300098E-1,1.665208228E0
3.020909640E-1,-7.563679814E-1,-1.527384043E0,-3.964270055E-1,1.749899685E0
3.071022690E-1,-7.767699957E-1,-1.669170976E0,-3.347420096E-1,1.871244395E0
3.121133480E-1,-7.805399895E-1,-1.835000038E0,-2.736650109E-1,2.012799134E0
3.171244900E-1,-7.796229720E-1,-2.008131981E0,-1.914010048E-1,2.162646614E0
3.221357980E-1,-7.667930126E-1,-2.205327034E0,-1.642269939E-1,2.340600213E0
3.271469540E-1,-7.587659955E-1,-2.426568985E0,-1.752759963E-1,2.548467098E0
3.321580310E-1,-7.314440012E-1,-2.674190998E0,-1.982879937E-1,2.779501025E0
3.371693360E-1,-7.135509849E-1,-2.926599979E0,-2.502369881E-1,3.022707561E0
3.421804820E-1,-6.740130186E-1,-3.171763897E0,-2.787350118E-1,3.254546508E0
3.471915590E-1,-6.295930147E-1,-3.404860020E0,-3.102219999E-1,3.476448879E0
3.522028650E-1,-5.562710166E-1,-3.628226042E0,-3.137210011E-1,3.684003599E0
3.572139440E-1,-4.900150001E-1,-3.837059021E0,-3.107729852E-1,3.880685053E0
3.622250960E-1,-4.260039926E-1,-4.024130821E0,-3.541570008E-1,4.062085111E0
3.672361750E-1,-3.714810014E-1,-4.194204807E0,-3.888379931E-1,4.228539592E0
3.722474800E-1,-3.168770075E-1,-4.342448235E0,-4.389820099E-1,4.376068202E0
3.772586360E-1,-2.694349885E-1,-4.487978935E0,-4.736090004E-1,4.520935260E0
3.822697080E-1,-2.148420066E-1,-4.618809223E0,-5.405629873E-1,4.655294198E0
3.872810140E-1,-1.339509934E-1,-4.737308025E0,-5.896959901E-1,4.775748272E0
3.922921700E-1,-8.180399984E-2,-4.833870888E0,-5.900890231E-1,4.870441942E0
3.973032330E-1,-2.478200011E-2,-4.891722202E0,-6.231539845E-1,4.931316370E0
4.023145380E-1,3.710100055E-2,-4.939558983E0,-6.481080055E-1,4.982034064E0
4.073256210E-1,7.997400314E-2,-4.965393066E0,-6.698049903E-1,5.011004178E0
4.123367730E-1,1.062809974E-1,-4.976380825E0,-6.834740043E-1,5.024221182E0
4.173480680E-1,9.681499749E-2,-4.953361988E0,-7.014560103E-1,5.003719483E0
4.223591470E-1,1.017699987E-1,-4.927434921E0,-6.162019968E-1,4.966857853E0
4.273702990E-1,8.992400020E-2,-4.898604870E0,-5.738430023E-1,4.932921223E0
4.323816060E-1,1.043509990E-1,-4.828579903E0,-4.980300069E-1,4.855317384E0
4.373926850E-1,9.473600239E-2,-4.734116077E0,-3.888790011E-1,4.751005875E0
4.424038370E-1,6.334300339E-2,-4.591304779E0,-2.440849990E-1,4.598224592E0
4.474151450E-1,3.893499821E-2,-4.390572071E0,-8.278699964E-2,4.391525103E0
4.524262280E-1,9.472999722E-3,-4.160642147E0,5.924199894E-2,4.161074672E0
4.574373050E-1,-1.554599963E-2,-3.894345045E0,1.724449992E-1,3.898192182E0
4.624484560E-1,-4.547299817E-2,-3.615583897E0,2.569980025E-1,3.624991404E0
4.674597550E-1,-7.559999824E-2,-3.362646103E0,3.296549916E-1,3.379611899E0
4.724709110E-1,-1.035420001E-1,-3.133151054E0,3.615669906E-1,3.155643700E0
4.774819920E-1,-1.460669935E-1,-2.929488897E0,3.456169963E-1,2.953420369E0
4.824932980E-1,-1.936649978E-1,-2.766030073E0,3.176290095E-1,2.790934733E0
4.875043770E-1,-2.488549948E-1,-2.630827904E0,2.870329916E-1,2.658114408E0
4.925155280E-1,-3.213810027E-1,-2.523896933E0,2.323430032E-1,2.554862960E0
4.975266070E-1,-3.850429952E-1,-2.450032949E0,1.416359991E-1,2.484145792E0
5.025379130E-1,-4.662629962E-1,-2.397299051E0,3.632000089E-2,2.442491160E0
5.075490740E-1,-5.243390203E-1,-2.358526945E0,-1.052379981E-1,2.418399428E0
5.125601510E-1,-5.903549790E-1,-2.328952074E0,-2.496729940E-1,2.415548254E0
5.175714570E-1,-6.547070146E-1,-2.320570946E0,-3.971849978E-1,2.443654376E0
5.225826020E-1,-7.269250154E-1,-2.340624094E0,-5.337929726E-1,2.508361231E0
5.275936790E-1,-7.973260283E-1,-2.334100008E0,-6.045510173E-1,2.539534126E0
5.326049850E-1,-8.539959788E-1,-2.293889999E0,-6.599900126E-1,2.535118790E0
5.376161460E-1,-9.137110114E-1,-2.260699034E0,-6.714190245E-1,2.529116731E0
5.426272230E-1,-9.333639741E-1,-2.179522038E0,-6.699479818E-1,2.463800909E0
5.476385290E-1,-9.561370015E-1,-2.088689089E0,-6.221590042E-1,2.379895355E0
5.526496180E-1,-9.245190024E-1,-1.954723954E0,-5.519520044E-1,2.231665777E0
5.576607690E-1,-8.672549725E-1,-1.799196005E0,-4.809449911E-1,2.054396635E0
5.626718240E-1,-7.914890051E-1,-1.612555981E0,-3.755899966E-1,1.835172875E0
5.676831300E-1,-6.972789764E-1,-1.401988029E0,-2.549239993E-1,1.586428269E0
5.726942850E-1,-6.011599898E-1,-1.203372955E0,-1.667290032E-1,1.355469794E0
5.777055910E-1,-5.097650290E-1,-1.013110995E0,-6.012199819E-2,1.135723967E0
5.827166700E-1,-4.269270003E-1,-8.118789792E-1,2.447899990E-2,9.176128606E-1
5.877278210E-1,-3.842499852E-1,-6.472820044E-1,9.761899710E-2,7.590464498E-1
5.927391290E-1,-3.592750132E-1,-5.310900211E-1,1.553570032E-1,6.597506681E-1
5.977502080E-1,-3.880839944E-1,-4.627990127E-1,1.706829965E-1,6.276342869E-1
6.027613560E-1,-4.525240064E-1,-4.351040125E-1,1.987349987E-1,6.584748118E-1
6.077724350E-1,-5.327619910E-1,-4.453420043E-1,2.070070058E-1,7.245803891E-1
6.127837500E-1,-6.259980202E-1,-4.885329902E-1,2.057110071E-1,8.202774057E-1
6.177948280E-1,-7.064110041E-1,-5.478839874E-1,1.998829991E-1,9.160494439E-1
6.228062110E-1,-7.609459758E-1,-5.542669892E-1,2.056040019E-1,9.635993353E-1
6.278172900E-1,-7.975320220E-1,-5.174880028E-1,2.221949995E-1,9.763307723E-1
6.328283670E-1,-8.217989802E-1,-4.070039988E-1,2.813369930E-1,9.592477900E-1
