"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.150376800E-2,-2.904535055E0,-5.026630163E-1,-1.346330047E-1,2.950782954E0
4.651545900E-2,-2.791616917E0,-4.767329991E-1,-7.107400149E-2,2.832922674E0
5.152708000E-2,-2.677370071E0,-4.540629983E-1,-1.774300076E-2,2.715658027E0
5.653854100E-2,-2.740159988E0,-4.927090108E-1,4.597400129E-2,2.784484250E0
6.155024600E-2,-2.807435036E0,-5.497009754E-1,8.708199859E-2,2.862070215E0
6.656186300E-2,-2.776923895E0,-5.749729872E-1,6.236099824E-2,2.836510030E0
7.157355300E-2,-2.714040995E0,-6.092219949E-1,1.759199984E-2,2.781632513E0
7.658501700E-2,-2.715027094E0,-6.547979712E-1,-7.451999933E-3,2.792881672E0
8.159663000E-2,-2.724641085E0,-7.184969783E-1,7.298999932E-3,2.817793503E0
8.660832700E-2,-2.664031982E0,-7.759929895E-1,4.676900059E-2,2.775143035E0
9.162001900E-2,-2.472940922E0,-7.985209823E-1,7.334399968E-2,2.599702272E0
9.663148300E-2,-1.361049056E0,-1.169800043E0,-1.108679995E-1,1.798104109E0
1.016430960E-1,-2.182231903E0,-1.265578985E0,-3.399969935E-1,2.545471312E0
1.066545600E-1,-2.626892090E0,-8.624879718E-1,-1.478960067E-1,2.768812161E0
1.116662740E-1,-2.376543999E0,-3.573440015E-1,-8.744000457E-3,2.403275384E0
1.166778910E-1,-2.008743048E0,-5.708799884E-2,3.813700005E-2,2.009915944E0
1.216893530E-1,-1.772995949E0,-1.249700040E-2,1.438899990E-2,1.773098377E0
1.267010380E-1,-1.733929038E0,-8.733899891E-2,-2.796100080E-2,1.736352449E0
1.317126560E-1,-1.771945953E0,-1.835909933E-1,-7.684600353E-2,1.783088170E0
1.367243360E-1,-1.778385997E0,-2.409919947E-1,-5.957800150E-2,1.795628980E0
1.417357990E-1,-1.736050963E0,-2.713859975E-1,-1.480599958E-2,1.757197349E0
1.467474900E-1,-1.694717050E0,-3.653649986E-1,7.036700100E-2,1.735081835E0
1.517591120E-1,-1.718935966E0,-4.850350022E-1,1.041240022E-1,1.789089606E0
1.567705740E-1,-1.880844951E0,-5.968449712E-1,1.415829957E-1,1.978344609E0
1.617822740E-1,-2.088737011E0,-6.413229704E-1,1.391589940E-1,2.189402357E0
1.667938910E-1,-2.223723888E0,-5.862169862E-1,-3.294999944E-3,2.299697620E0
1.718055860E-1,-2.177248955E0,-4.746310115E-1,-1.281999946E-1,2.232066945E0
1.768170490E-1,-2.003465891E0,-3.656989932E-1,-1.457159966E-1,2.041774836E0
1.818286630E-1,-1.856709957E0,-3.180739880E-1,-8.139000274E-3,1.883775244E0
1.868403500E-1,-1.733528018E0,-3.055990040E-1,1.031059995E-1,1.763275641E0
1.918520420E-1,-1.583979964E0,-3.177680075E-1,2.116700076E-2,1.615678519E0
