"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.530690600E-2,-8.419209719E-1,-3.015849888E-1,-2.192099951E-2,8.945752951E-1
5.031852100E-2,-8.459839821E-1,-3.221139908E-1,2.550699934E-2,9.055920318E-1
5.533022200E-2,-8.195229769E-1,-3.374809921E-1,1.291110069E-1,8.956455670E-1
6.034168600E-2,-8.259959817E-1,-3.382169902E-1,2.130990028E-1,9.176444188E-1
6.535329900E-2,-8.203409910E-1,-3.506129980E-1,3.084670007E-1,9.439495254E-1
7.036499200E-2,-8.100399971E-1,-3.483580053E-1,3.988609910E-1,9.677851967E-1
7.537646000E-2,-7.813370228E-1,-3.555270135E-1,4.242689908E-1,9.575443473E-1
8.038815100E-2,-7.533490062E-1,-3.626190126E-1,4.285539985E-1,9.395135992E-1
8.539976800E-2,-7.214069963E-1,-3.769100010E-1,3.986049891E-1,9.062974900E-1
9.041145300E-2,-6.834409833E-1,-3.936649859E-1,3.517130017E-1,8.635772892E-1
9.542291700E-2,-6.488940120E-1,-4.225339890E-1,2.767710090E-1,8.223141748E-1
1.004346070E-1,-6.616610289E-1,-4.492560029E-1,1.793249995E-1,8.196241387E-1
1.054462200E-1,-6.554610133E-1,-4.593980014E-1,1.016400009E-1,8.068496474E-1
1.104576810E-1,-6.725270152E-1,-4.792079926E-1,4.759600013E-2,8.271627806E-1
1.154693710E-1,-7.190949917E-1,-4.870559871E-1,2.790299989E-2,8.689647398E-1
1.204809930E-1,-7.524510026E-1,-4.900420010E-1,2.740699984E-2,8.983734289E-1
1.254926830E-1,-8.078129888E-1,-4.761190116E-1,5.951499939E-2,9.395707388E-1
1.305043760E-1,-8.498049974E-1,-4.332590103E-1,1.045060009E-1,9.595850186E-1
1.355158540E-1,-8.789430261E-1,-3.614610136E-1,1.552419960E-1,9.629615697E-1
1.405274670E-1,-8.654490113E-1,-3.013699949E-1,2.230740041E-1,9.431796628E-1
1.455391400E-1,-8.430489898E-1,-2.218459994E-1,3.075659871E-1,9.244155359E-1
1.505506030E-1,-8.305209875E-1,-1.372739971E-1,3.874660134E-1,9.266818076E-1
1.555622120E-1,-8.369190097E-1,-8.138799667E-2,3.631339967E-1,9.159277997E-1
1.605739040E-1,-7.436519861E-1,7.992000319E-3,3.583630025E-1,8.255338819E-1
1.655853630E-1,-6.023079753E-1,8.298499882E-2,3.654330075E-1,7.093678102E-1
1.705969760E-1,-4.953399897E-1,1.483850032E-1,3.723050058E-1,6.371740986E-1
1.756086680E-1,-3.729960024E-1,1.826439947E-1,3.858509958E-1,5.668913808E-1
1.806203610E-1,-2.426519990E-1,2.001509964E-1,4.149360061E-1,5.206844564E-1
1.856318240E-1,-1.346659958E-1,2.080969959E-1,4.499169886E-1,5.136775125E-1
1.906435010E-1,-4.370899871E-2,1.968680024E-1,4.651220143E-1,5.069575674E-1
1.956551180E-1,4.227399826E-2,1.640979946E-1,4.794459939E-1,5.085112622E-1
2.006665790E-1,1.349969953E-1,1.504189968E-1,4.908390045E-1,5.308229382E-1
2.056782120E-1,2.180600017E-1,1.343190074E-1,5.016390085E-1,5.632348134E-1
2.106899040E-1,2.569200099E-1,9.905599803E-2,4.955390096E-1,5.669028949E-1
2.157013520E-1,3.201479912E-1,4.940000176E-2,5.010889769E-1,5.966785225E-1
2.207130420E-1,3.629420102E-1,2.015999984E-3,4.550659955E-1,5.820790558E-1
2.257246400E-1,3.742330074E-1,-6.224299967E-2,3.937219977E-1,5.467554722E-1
2.307363310E-1,3.595969975E-1,-1.337309927E-1,3.523280025E-1,5.208925036E-1
