"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.180257300E-2,1.731348991E0,-6.167000160E-3,5.024679899E-1,1.802798226E0
4.681395800E-2,1.612630963E0,3.470699862E-2,3.305520117E-1,1.646525989E0
5.182556800E-2,1.469997048E0,8.362200111E-2,1.401199996E-1,1.479025887E0
5.683695500E-2,1.370856047E0,1.264570057E-1,-3.552899882E-2,1.377134701E0
6.184833000E-2,1.278823972E0,1.727720052E-1,-1.246810034E-1,1.296451414E0
6.685971400E-2,1.223739028E0,2.132519931E-1,-1.609369963E-1,1.252563107E0
7.187109900E-2,1.211668968E0,2.387969941E-1,-1.132640019E-1,1.240159033E0
7.688248300E-2,1.204489946E0,2.475730032E-1,-6.539700180E-2,1.231407808E0
8.189393300E-2,1.176820040E0,2.400020063E-1,9.033000097E-3,1.201077834E0
8.690532000E-2,1.159670949E0,2.189570069E-1,7.172100246E-2,1.182337846E0
9.191671800E-2,1.122722983E0,1.801799983E-1,1.035429984E-1,1.141793712E0
9.692810300E-2,1.073465943E0,1.450729966E-1,1.068810001E-1,1.088484660E0
1.019394770E-1,1.016903043E0,9.732999653E-2,1.056480035E-1,1.026998747E0
1.069508620E-1,9.672449827E-1,3.506200016E-2,7.348799706E-2,9.706661044E-1
1.119624710E-1,9.077450037E-1,-2.724000067E-2,4.387700185E-2,9.092129567E-1
1.169738570E-1,8.687589765E-1,-6.867600232E-2,9.600000456E-3,8.715220665E-1
1.219852420E-1,8.218759894E-1,-1.153440028E-1,6.544999778E-3,8.299561543E-1
1.269966260E-1,7.833340168E-1,-1.602430046E-1,-1.206999994E-3,7.995570394E-1
1.320080110E-1,7.505930066E-1,-1.780830026E-1,7.871000096E-3,7.714696170E-1
1.370193910E-1,7.093780041E-1,-1.974119991E-1,2.181199938E-2,7.366575957E-1
1.420308500E-1,6.599379778E-1,-2.022390068E-1,3.343199939E-2,6.910401211E-1
1.470422230E-1,6.326360106E-1,-2.046680003E-1,4.510600120E-2,6.664471950E-1
1.520536070E-1,5.988249779E-1,-2.047660053E-1,4.965399951E-2,6.348117758E-1
1.570649870E-1,5.819479823E-1,-1.771769971E-1,3.749199957E-2,6.094758342E-1
1.620763720E-1,5.791260004E-1,-1.482699960E-1,3.014899977E-2,5.985648488E-1
1.670877800E-1,5.736740232E-1,-1.134369969E-1,1.327100024E-2,5.849324376E-1
1.720993940E-1,5.541489720E-1,-9.143400192E-2,1.318200026E-2,5.617962487E-1
1.771105640E-1,5.652599931E-1,-4.229699820E-2,1.312800031E-2,5.669922753E-1
1.821221770E-1,5.666339993E-1,-1.320200041E-2,1.789899915E-2,5.670703274E-1
1.871335550E-1,5.610110164E-1,-1.344999997E-3,-8.395999670E-3,5.610754515E-1
1.921449390E-1,5.740770102E-1,3.794899955E-2,1.241000020E-3,5.753312787E-1
1.971563480E-1,5.796899796E-1,5.969399959E-2,-1.539499965E-2,5.829587052E-1
2.021677330E-1,5.804839730E-1,7.602299750E-2,-1.523599960E-2,5.856392019E-1
2.071791920E-1,5.881369710E-1,8.007399738E-2,-2.220699936E-2,5.939781920E-1
2.121905790E-1,5.769839883E-1,8.614099771E-2,-2.195299976E-2,5.837916824E-1
2.172019630E-1,5.522699952E-1,7.565400004E-2,-3.123700060E-2,5.583022708E-1
2.222133670E-1,5.283250213E-1,6.309500337E-2,-4.288300127E-2,5.338045142E-1
