"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.759929800E-2,1.709299982E-1,1.974709928E-1,1.190448999E0,1.218761945E0
3.261006700E-2,7.422400266E-2,9.160599858E-2,1.386739016E0,1.391742059E0
3.762107200E-2,2.771599963E-2,-3.221200034E-2,1.508231044E0,1.508829570E0
4.263192000E-2,4.074500129E-2,-1.214469969E-1,1.564504981E0,1.569740540E0
4.764268500E-2,1.039690003E-1,-1.855030060E-1,1.517186999E0,1.532017398E0
5.265368300E-2,1.696459949E-1,-2.060620040E-1,1.316812992E0,1.343591370E0
5.766445400E-2,1.702100039E-1,-1.829770058E-1,1.020908952E0,1.051050483E0
6.267528800E-2,1.728370041E-1,-1.124819964E-1,6.757969856E-1,7.065595483E-1
6.768605900E-2,1.860660017E-1,1.431099977E-2,3.343780041E-1,3.829282064E-1
7.269703800E-2,2.369060069E-1,1.566839963E-1,1.055299956E-2,2.842282474E-1
7.770781000E-2,3.076719940E-1,2.765940130E-1,-3.152709901E-1,5.201558431E-1
8.271863500E-2,3.787190020E-1,3.298360109E-1,-6.299300194E-1,8.056250405E-1
8.772963500E-2,4.285579920E-1,3.041110039E-1,-8.920879960E-1,1.035358125E0
9.274040100E-2,3.874419928E-1,2.018290013E-1,-1.098482013E0,1.182162838E0
9.775117000E-2,2.824000120E-1,7.267399877E-2,-1.224200964E0,1.258451142E0
1.027619990E-1,1.282140017E-1,-3.483799845E-2,-1.281687975E0,1.288556006E0
1.077729990E-1,-3.563100100E-2,-9.155400097E-2,-1.242969036E0,1.246845511E0
1.127837710E-1,-1.775269955E-1,-1.094129980E-1,-1.139731050E0,1.158651761E0
1.177946150E-1,-2.778770030E-1,-1.211690009E-1,-9.492890239E-1,9.965175394E-1
1.228056150E-1,-3.264349997E-1,-1.361390054E-1,-7.106720209E-1,7.938188453E-1
1.278163860E-1,-2.822760046E-1,-1.503109932E-1,-4.812409878E-1,5.778114102E-1
1.328271550E-1,-1.660500020E-1,-1.338540018E-1,-2.626709938E-1,3.383571308E-1
1.378380000E-1,1.851099916E-2,-9.434200078E-2,-2.862500027E-2,1.003118181E-1
1.428489950E-1,2.288659960E-1,-5.561900139E-2,2.234330028E-1,3.246466143E-1
1.478597660E-1,4.286870062E-1,-3.732400015E-2,4.036549926E-1,5.900025282E-1
1.528705860E-1,5.777209997E-1,-5.394300073E-2,5.010359883E-1,7.666214597E-1
1.578815860E-1,7.060059905E-1,-7.900500298E-2,5.804589987E-1,9.173978953E-1
