"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.399303800E-2,1.077850014E-1,-5.820680261E-1,-1.989700086E-2,5.922978002E-1
4.900442000E-2,8.015999570E-3,-6.009969711E-1,1.103790030E-1,6.111015790E-1
5.401586800E-2,-5.760399997E-2,-6.078690290E-1,1.884820014E-1,6.390214724E-1
5.902725400E-2,-1.088180020E-1,-6.003270149E-1,2.417619973E-1,6.562642347E-1
6.403866300E-2,-1.484690011E-1,-5.832170248E-1,2.527990043E-1,6.527575958E-1
6.905004800E-2,-1.839919984E-1,-5.685129762E-1,2.600679994E-1,6.516865994E-1
7.406142600E-2,-2.271060050E-1,-5.514730215E-1,2.266779989E-1,6.380302078E-1
7.907281100E-2,-2.359270006E-1,-5.345349908E-1,1.654440016E-1,6.072568844E-1
8.408419500E-2,-2.602230012E-1,-5.464479923E-1,6.787600368E-2,6.090390550E-1
8.909580400E-2,-2.809759974E-1,-5.513290167E-1,-5.593699962E-2,6.213212886E-1
9.410696000E-2,-3.308590055E-1,-5.490829945E-1,-1.359959990E-1,6.553279546E-1
9.911832300E-2,-6.155660152E-1,-5.156220198E-1,-2.179470062E-1,8.320387515E-1
1.041297080E-1,-1.152853966E0,-4.028719962E-1,-3.182139993E-1,1.261997726E0
1.091410930E-1,-1.286545038E0,-3.183540106E-1,-8.595000207E-2,1.328132077E0
1.141527080E-1,-1.140040040E0,-2.194090039E-1,1.671800017E-2,1.161081864E0
1.191638640E-1,-8.320720196E-1,-1.710200012E-1,-5.268799886E-2,8.510979449E-1
1.241752460E-1,-5.938209891E-1,-2.187200040E-1,-2.381419986E-1,6.761460040E-1
1.291868520E-1,-5.737100244E-1,-2.617349923E-1,-4.158340096E-1,7.553584062E-1
1.341982390E-1,-5.703349710E-1,-3.118959963E-1,-4.792920053E-1,8.076397204E-1
1.392096370E-1,-5.647220016E-1,-3.499990106E-1,-4.645650089E-1,8.106977821E-1
1.442210220E-1,-5.498920083E-1,-4.142949879E-1,-3.762069941E-1,7.845720236E-1
1.492324010E-1,-5.445910096E-1,-4.856190085E-1,-2.299290001E-1,7.650310676E-1
1.542437860E-1,-4.719960093E-1,-5.688890219E-1,-9.684900194E-2,7.455163856E-1
1.592551660E-1,-3.874289989E-1,-6.593779922E-1,7.583000232E-3,7.648124395E-1
1.642665500E-1,-2.866869867E-1,-7.523599863E-1,8.214599639E-2,8.093101643E-1
1.692779340E-1,-1.771000028E-1,-8.622090220E-1,1.579969972E-1,8.942772835E-1
1.742893180E-1,-9.138099849E-2,-9.458299875E-1,2.375569940E-1,9.794785233E-1
1.793007020E-1,-5.307900161E-2,-1.041766047E0,3.152590096E-1,1.089716533E0
1.843120870E-1,-2.657099999E-2,-1.123332977E0,3.902019858E-1,1.189470717E0
1.893234720E-1,-1.891300082E-2,-1.166594982E0,5.058079958E-1,1.271669486E0
1.943349330E-1,1.006999984E-3,-1.214604020E0,6.046609879E-1,1.356789906E0
1.993463200E-1,3.803699836E-2,-1.255377054E0,6.653339863E-1,1.421297884E0
2.043577040E-1,2.278199978E-2,-1.303254962E0,7.429280281E-1,1.500311491E0
2.093690890E-1,1.255599968E-2,-1.341469049E0,7.873169780E-1,1.555495062E0
2.143804590E-1,-1.417499967E-2,-1.367601991E0,8.055570126E-1,1.587280138E0
2.193918440E-1,-3.844999894E-2,-1.374459028E0,8.216480017E-1,1.601786959E0
