"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.666415700E-2,2.982060015E-1,2.390519977E-1,-1.281759024E0,1.337527148E0
3.167492700E-2,4.028019905E-1,4.194119871E-1,-1.272613049E0,1.399178269E0
3.668569600E-2,4.716140032E-1,6.170700192E-1,-1.083857059E0,1.333394654E0
4.169647500E-2,5.648149848E-1,7.789610028E-1,-9.403240085E-1,1.345364431E0
4.670747500E-2,6.557829976E-1,9.084420204E-1,-7.572510242E-1,1.352311857E0
5.171824600E-2,6.599119902E-1,9.129620194E-1,-5.788819790E-1,1.266525890E0
5.672901600E-2,6.537789702E-1,8.578289747E-1,-4.506640136E-1,1.168929230E0
6.173978500E-2,6.192129850E-1,8.134819865E-1,-4.465889931E-1,1.115625113E0
6.675054000E-2,4.780040085E-1,7.232310176E-1,-5.229830146E-1,1.012453540E0
7.176130900E-2,3.903450072E-1,5.725790262E-1,-4.075030088E-1,8.039121022E-1
7.677208700E-2,2.650060058E-1,4.112359881E-1,-3.845080137E-1,6.222456377E-1
8.178285600E-2,1.444990039E-1,2.367579937E-1,-4.373300076E-1,5.178724218E-1
8.679363000E-2,-6.988500059E-2,9.064400196E-2,-3.981589973E-1,4.142835207E-1
9.180439900E-2,-1.791010052E-1,-9.376099706E-2,-2.700990140E-1,3.373748242E-1
9.681516800E-2,-2.626670003E-1,-1.811330020E-1,-2.064410001E-1,3.800276358E-1
1.018259370E-1,-4.941320121E-1,-1.771859974E-1,-7.032199949E-2,5.296286498E-1
1.068367880E-1,-6.503180265E-1,-3.684169948E-1,1.716620028E-1,7.668849072E-1
1.118475590E-1,-5.407299995E-1,-4.145340025E-1,3.341909945E-1,7.588879973E-1
1.168583280E-1,-3.209489882E-1,-4.197880030E-1,5.053859949E-1,7.311943820E-1
1.218690830E-1,-8.662699908E-2,-3.809149861E-1,7.857260108E-1,8.774769670E-1
1.268798520E-1,9.404200315E-2,-3.329130113E-1,9.992190003E-1,1.057408900E0
1.318906020E-1,2.333209962E-1,-3.229109943E-1,1.265699029E0,1.326915306E0
1.369013710E-1,3.581100106E-1,-3.488470018E-1,1.513398051E0,1.593835209E0
1.419121400E-1,3.733290136E-1,-3.990879953E-1,1.742337942E0,1.826030472E0
1.469231390E-1,2.583940029E-1,-5.433419943E-1,2.093759060E0,2.178489152E0
1.519336790E-1,2.922230065E-1,-6.622629762E-1,2.395471096E0,2.502452459E0
1.569446860E-1,4.254670143E-1,-6.940780282E-1,2.441716909E0,2.573858573E0
1.619554570E-1,3.660460114E-1,-7.609390020E-1,2.464536905E0,2.605179457E0
1.669662320E-1,2.067780048E-1,-8.201739788E-1,2.418350935E0,2.562003853E0
1.719770010E-1,1.218909994E-1,-7.759850025E-1,2.231304884E0,2.365529883E0
1.769877700E-1,5.066699907E-2,-6.784369946E-1,1.927235961E0,2.043791171E0
1.819985340E-1,-7.239100337E-2,-5.823370218E-1,1.565883994E0,1.672228916E0
1.870093780E-1,-1.957080066E-1,-4.825519919E-1,1.166298985E0,1.277267150E0
1.920200830E-1,-2.863349915E-1,-3.701960146E-1,8.037999868E-1,9.301221616E-1
1.970309270E-1,-3.404319882E-1,-2.437980026E-1,4.509690106E-1,6.153896759E-1
2.020416790E-1,-3.555009961E-1,-1.336610019E-1,1.482740045E-1,4.077148539E-1
2.070524480E-1,-3.405370116E-1,-1.588599943E-2,-7.099600136E-2,3.482215580E-1
2.120632030E-1,-2.875919938E-1,9.566000104E-2,-2.476879954E-1,3.914196390E-1
2.170739720E-1,-2.119700015E-1,1.716009974E-1,-3.889980018E-1,4.750764457E-1
2.220847360E-1,-1.239439994E-1,1.995709985E-1,-5.068749785E-1,5.586706922E-1
2.270957340E-1,-3.132800013E-2,1.976580024E-1,-5.534960032E-1,5.885643168E-1
2.321065050E-1,6.597200036E-2,1.789249927E-1,-5.838459730E-1,6.142007636E-1
2.371172800E-1,1.540129930E-1,1.627089977E-1,-5.476250052E-1,5.916818117E-1
2.421280490E-1,2.242289931E-1,1.353379935E-1,-4.949280024E-1,5.599542315E-1
2.471388180E-1,5.563259721E-1,2.921899855E-1,-6.662549973E-1,9.158434889E-1
2.521495970E-1,5.335649848E-1,2.779290080E-1,-8.087249994E-1,1.007954489E0
2.571603670E-1,5.309000146E-3,-5.810200050E-2,-3.434770107E-1,3.483970219E-1
2.621711260E-1,1.062529981E-1,-9.845999628E-2,-5.340639949E-1,5.533610224E-1
2.671818950E-1,2.374839932E-1,-1.122120023E-1,-5.191590190E-1,5.818215083E-1
2.721926350E-1,3.497549891E-1,-6.556399912E-2,-6.313080192E-1,7.246909724E-1
2.772034040E-1,3.544259965E-1,-5.103800073E-2,-6.596170068E-1,7.505446424E-1
2.822141680E-1,3.742839992E-1,-1.704999991E-2,-6.808940172E-1,7.771717167E-1
2.872249370E-1,3.083919883E-1,1.911900006E-2,-6.183429956E-1,6.912446852E-1
2.922357970E-1,2.057069987E-1,3.861799836E-2,-5.149009824E-1,5.558144841E-1
2.972464920E-1,1.166689992E-1,4.158800095E-2,-4.303719997E-1,4.478406808E-1
3.022573500E-1,6.925199926E-2,4.240399972E-2,-3.480939865E-1,3.574400118E-1
3.072681210E-1,-1.152899954E-2,1.317500044E-2,-2.798300087E-1,2.803771251E-1
3.122788900E-1,-1.039140001E-1,-2.219700068E-2,-1.992390007E-1,2.258030240E-1
3.172896590E-1,-1.823830009E-1,-7.058800012E-2,-8.008199930E-2,2.113275925E-1
3.223004440E-1,-2.357130051E-1,-6.910199672E-2,-3.869999899E-3,2.456637613E-1
3.273112130E-1,-1.810240000E-1,-1.678549945E-1,1.296599954E-1,2.788488878E-1
3.323219820E-1,-7.433199883E-2,-2.316379994E-1,3.131859899E-1,3.965688756E-1
3.373329800E-1,7.344000041E-3,-3.286679983E-1,4.225519896E-1,5.353753555E-1
3.423437510E-1,8.898799866E-2,-4.390909970E-1,3.717679977E-1,5.821779897E-1
3.473545210E-1,1.193090007E-1,-5.552219748E-1,2.423799932E-1,6.174578043E-1
3.523652860E-1,1.294749975E-1,-6.116309762E-1,1.563709974E-1,6.444440355E-1
3.573760550E-1,1.034459993E-1,-6.006180048E-1,8.023200184E-2,6.147196406E-1
3.623868240E-1,7.892200351E-2,-5.334640145E-1,6.630999967E-3,5.393111417E-1
3.673975980E-1,3.204499930E-2,-4.490900040E-1,-5.968299881E-2,4.541704239E-1
3.724083670E-1,-1.603999920E-2,-3.319720030E-1,-8.055300266E-2,3.419816933E-1
3.774191360E-1,-3.517799824E-2,-2.065979987E-1,-6.808499992E-2,2.203537879E-1
3.824299050E-1,-1.008800045E-2,-7.802999765E-2,-8.946499974E-2,1.191403981E-1
3.874406740E-1,4.371700063E-2,-1.377199963E-2,-9.923800081E-2,1.093115956E-1
3.924514480E-1,2.507499978E-2,-3.260000085E-4,-1.114960015E-1,1.142813206E-1
3.974622930E-1,-2.459100075E-2,-2.958800085E-2,-1.117509976E-1,1.181882083E-1
4.024730640E-1,-1.088410020E-1,-8.157200366E-2,-1.022199988E-1,1.701448902E-1
4.074838480E-1,-2.053029984E-1,-1.418689936E-1,-8.042500168E-2,2.621913679E-1
4.124946180E-1,-2.575950027E-1,-1.707910001E-1,-3.934900090E-2,3.115655549E-1
4.175053870E-1,-2.925209999E-1,-2.041739970E-1,2.095700055E-2,3.573440252E-1
4.225161410E-1,-2.663539946E-1,-2.047639936E-1,1.194050014E-1,3.565533591E-1
4.275269100E-1,-1.826930046E-1,-1.804589927E-1,2.175389975E-1,3.365492496E-1
4.325376790E-1,-9.370899945E-2,-1.434340030E-1,2.842830122E-1,3.319209556E-1
4.375484430E-1,-2.465100028E-2,-1.403660029E-1,3.150329888E-1,3.457688109E-1
4.425592120E-1,4.620299861E-2,-1.538279951E-1,3.002879918E-1,3.405446331E-1
4.475699810E-1,1.237230003E-1,-1.876499951E-1,2.425100058E-1,3.306523921E-1
4.525809800E-1,1.796499938E-1,-2.132589966E-1,1.752420068E-1,3.293376396E-1
4.575915210E-1,1.937080026E-1,-2.263109982E-1,1.057500020E-1,3.161052374E-1
4.626025140E-1,1.691460013E-1,-2.363609970E-1,7.718200237E-2,3.007223838E-1
4.676132850E-1,1.229479983E-1,-1.995680034E-1,5.115599930E-2,2.399177662E-1
4.726240540E-1,1.018079966E-1,-1.569049954E-1,1.796600036E-2,1.879010988E-1
4.776348390E-1,1.116200015E-1,-6.459899992E-2,-2.502500080E-2,1.313708727E-1
4.826456080E-1,1.815730035E-1,8.071699739E-2,-1.116039976E-1,2.279022632E-1
4.876563670E-1,2.419179976E-1,2.355059981E-1,-1.269720048E-1,3.607066436E-1
4.926671360E-1,2.506879866E-1,3.599289954E-1,-9.488599747E-2,4.487724377E-1
4.976779810E-1,2.367749959E-1,4.409770072E-1,3.922000062E-3,5.005382119E-1
5.026887470E-1,2.336370051E-1,4.894039929E-1,1.097249985E-1,5.533010877E-1
5.076994390E-1,2.273119986E-1,4.666849971E-1,1.868200004E-1,5.516949735E-1
5.127102830E-1,1.925709993E-1,4.004189968E-1,2.760640085E-1,5.230968357E-1
5.177210410E-1,1.354079992E-1,2.918699980E-1,3.130249977E-1,4.488965038E-1
5.227318100E-1,4.985700175E-2,1.493169963E-1,3.289740086E-1,3.646987583E-1
5.277425640E-1,-1.191100013E-2,2.494500019E-2,3.334009945E-1,3.345449867E-1
5.327533330E-1,-5.062799901E-2,-5.858699977E-2,3.429110050E-1,3.515445750E-1
5.377641070E-1,-7.834400237E-2,-8.159500360E-2,3.884800076E-1,4.046136968E-1
5.427748760E-1,-1.020400003E-1,-6.923799962E-2,4.317559898E-1,4.490203748E-1
5.477856450E-1,-1.049820036E-1,-5.256000161E-2,3.865999877E-1,4.040338171E-1
5.527964190E-1,-1.316400021E-1,-7.576400042E-2,2.771050036E-1,3.160007230E-1
5.578074180E-1,-1.465580016E-1,-1.745640039E-1,7.948700339E-2,2.413918454E-1
5.628181890E-1,-8.791399747E-2,-2.396830022E-1,-1.538919955E-1,2.980932049E-1
5.678289450E-1,-7.252799720E-2,-2.764669955E-1,-4.134550095E-1,5.026324252E-1
5.728394830E-1,-2.142660022E-1,-3.279820085E-1,-5.361880064E-1,6.640630209E-1
5.778504950E-1,-2.308070064E-1,-2.803249955E-1,-5.849519968E-1,6.884931487E-1
5.828612660E-1,-1.446039975E-1,-1.880059987E-1,-5.577909946E-1,6.061248760E-1
5.878720410E-1,-5.353799835E-2,-5.468700081E-2,-5.002560019E-1,5.060761334E-1
5.928828100E-1,-3.636199981E-2,4.627000168E-2,-4.024919868E-1,4.067713209E-1
5.978935790E-1,-9.410000406E-3,1.113229990E-1,-3.050920069E-1,3.249038179E-1
6.029043620E-1,4.785500094E-2,1.576589942E-1,-2.176750004E-1,2.729997534E-1
6.079151320E-1,7.880800217E-2,1.787209958E-1,-1.137930006E-1,2.260547335E-1
6.129259010E-1,1.074849963E-1,1.775449961E-1,4.224999808E-3,2.075887779E-1
6.179367400E-1,1.671330035E-1,1.640789956E-1,1.316139996E-1,2.686588963E-1
6.229474340E-1,2.439769953E-1,1.227570027E-1,2.134789973E-1,3.466516094E-1
6.279582020E-1,2.895759940E-1,9.154400229E-2,2.858400047E-1,4.170600304E-1
6.329690480E-1,2.868340015E-1,4.716899991E-2,3.393220007E-1,4.468087725E-1
6.379798190E-1,2.672559917E-1,5.511499941E-2,3.905900121E-1,4.764703409E-1
6.429905930E-1,2.288829982E-1,6.285800040E-2,4.444580078E-1,5.038665258E-1
6.480013630E-1,1.904260069E-1,5.187600106E-2,4.554640055E-1,4.963875944E-1
6.530121320E-1,1.168899983E-1,-3.859999997E-4,4.046129882E-1,4.211592228E-1
