"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.234850200E-2,-1.364693999E0,-6.659399718E-2,-1.256300043E-2,1.366375608E0
4.736019500E-2,-1.219228029E0,-8.506000042E-2,-2.534979880E-1,1.248204078E0
5.237165800E-2,-1.096061945E0,-1.370559931E-1,-3.416149914E-1,1.156216647E0
5.738330000E-2,-1.024871945E0,-1.790439934E-1,-3.398410082E-1,1.094491282E0
6.239499200E-2,-9.603739977E-1,-2.125680000E-1,-1.762869954E-1,9.992899853E-1
6.740645500E-2,-9.905940294E-1,-2.399699986E-1,3.775599971E-2,1.019944923E0
7.241806400E-2,-9.850479960E-1,-2.688100040E-1,1.898480058E-1,1.038566627E0
7.742975600E-2,-9.956769943E-1,-2.930249870E-1,1.661799997E-1,1.051119457E0
8.244142300E-2,-9.824389815E-1,-3.126139939E-1,1.344089955E-1,1.039701707E0
8.745288700E-2,-9.623479843E-1,-3.297640085E-1,1.341809928E-1,1.026090875E0
9.246450500E-2,-9.587119818E-1,-3.375529945E-1,9.490499645E-2,1.020822044E0
9.747596900E-2,-9.154310226E-1,-3.550690114E-1,6.199600175E-2,9.838350799E-1
1.024876300E-1,-8.940780163E-1,-3.558770120E-1,5.625500157E-2,9.639442785E-1
1.074992480E-1,-8.777549863E-1,-3.374609947E-1,7.455699891E-2,9.433411286E-1
1.125109380E-1,-8.733999729E-1,-3.237240016E-1,9.520699829E-2,9.363167810E-1
1.175223870E-1,-8.899840117E-1,-3.101319969E-1,6.683299690E-2,9.448386349E-1
1.225340000E-1,-8.690310121E-1,-2.797499895E-1,6.517899781E-2,9.152722318E-1
1.275456730E-1,-8.465129733E-1,-2.423119992E-1,3.602800146E-2,8.812476019E-1
1.325571370E-1,-8.410069942E-1,-2.123879939E-1,-3.629099950E-2,8.681696038E-1
1.375687500E-1,-8.310509920E-1,-1.994210035E-1,-8.546499908E-2,8.589055559E-1
1.425804380E-1,-8.516420126E-1,-1.889909953E-1,-1.310130060E-1,8.821429145E-1
1.475919010E-1,-8.530120254E-1,-1.857009977E-1,-1.475369930E-1,8.853708490E-1
1.526035810E-1,-8.358169794E-1,-1.726620048E-1,-1.405539960E-1,8.649610493E-1
1.576151990E-1,-7.981560230E-1,-1.690579951E-1,-1.386120021E-1,8.275547897E-1
1.626266600E-1,-7.592160106E-1,-1.747359931E-1,-1.067209989E-1,7.863402505E-1
1.676383510E-1,-6.957700253E-1,-1.823759973E-1,-4.810800031E-2,7.208823150E-1
1.726500190E-1,-6.594640017E-1,-1.992910057E-1,-5.175999831E-3,6.889386514E-1
1.776616360E-1,-5.656239986E-1,-2.328079939E-1,1.320200041E-2,6.118041865E-1
1.826731120E-1,-5.824620128E-1,-3.680570126E-1,1.859779954E-1,7.136636292E-1
1.876848020E-1,-7.744200230E-1,-3.894810081E-1,-1.026299968E-2,8.669066598E-1
1.926964200E-1,-7.498819828E-1,-3.227759898E-1,-6.988299638E-2,8.193845013E-1
1.977081100E-1,-6.917529702E-1,-2.417410016E-1,-5.500800163E-2,7.348379168E-1
2.027195680E-1,-6.333339810E-1,-1.942439973E-1,-4.697899893E-2,6.641157191E-1
2.077311820E-1,-6.021929979E-1,-1.921859980E-1,-3.648199886E-2,6.331688565E-1
2.127428740E-1,-5.881829858E-1,-1.973920017E-1,-4.440199956E-2,6.220083317E-1
2.177543190E-1,-5.699509978E-1,-1.979169995E-1,-5.867400020E-2,6.061830721E-1
2.227660090E-1,-5.174850225E-1,-1.961639971E-1,-6.273499876E-2,5.569620655E-1
2.277776260E-1,-4.318479896E-1,-1.802069992E-1,-6.384199858E-2,4.722743370E-1
2.327890830E-1,-3.741180003E-1,-1.975490004E-1,-8.786000311E-3,4.231631830E-1
2.378007730E-1,-2.411209941E-1,-2.296849936E-1,-5.244800076E-2,3.371132197E-1
2.428123910E-1,-2.277929932E-1,-2.573249936E-1,-9.671700001E-2,3.570153753E-1
2.478240470E-1,-2.100010067E-1,-2.755250037E-1,-1.137970015E-1,3.646425757E-1
2.528355110E-1,-1.994690001E-1,-3.055579960E-1,-8.361999691E-2,3.743606214E-1
2.578472010E-1,-1.820600033E-1,-3.308039904E-1,-7.489299774E-2,3.849494590E-1
2.628588180E-1,-1.671919972E-1,-3.537470102E-1,-8.706700057E-2,4.008375902E-1
2.678705090E-1,-1.733369976E-1,-3.649699986E-1,-1.285409927E-1,4.239948130E-1
2.728819720E-1,-1.604299992E-1,-3.953529894E-1,-1.266620010E-1,4.450674482E-1
2.778936020E-1,-1.754239947E-1,-3.946349919E-1,-1.290429980E-1,4.507354546E-1
2.829052940E-1,-1.709370017E-1,-4.202229977E-1,-1.263439953E-1,4.709242311E-1
2.879167660E-1,-1.730459929E-1,-4.529719949E-1,-1.233220026E-1,5.003367467E-1
2.929284570E-1,-1.907889992E-1,-4.926080108E-1,-7.833000273E-2,5.340399646E-1
2.979400780E-1,-2.005410045E-1,-5.367220044E-1,-2.034400031E-2,5.733245877E-1
3.029517690E-1,-2.163899988E-1,-5.829380155E-1,2.457099967E-2,6.222902020E-1
3.079632370E-1,-2.365899980E-1,-6.098440289E-1,5.930100009E-2,6.568113697E-1
3.129748500E-1,-2.489559948E-1,-6.273790002E-1,2.171500027E-2,6.753184719E-1
3.179863140E-1,-2.701370120E-1,-6.186140180E-1,1.603100076E-2,6.752142634E-1
3.229980230E-1,-3.301450014E-1,-6.024929881E-1,2.239700034E-2,6.873828251E-1
3.280097160E-1,-3.928329945E-1,-6.242579818E-1,6.342600286E-2,7.402963239E-1
3.330213330E-1,-4.072769880E-1,-6.457020044E-1,1.125869974E-1,7.716744492E-1
3.380327900E-1,-3.958890140E-1,-6.408730149E-1,1.120430008E-1,7.615772887E-1
3.430444800E-1,-3.919230103E-1,-6.244469881E-1,4.730600119E-2,7.387662315E-1
3.480560920E-1,-3.811309934E-1,-6.203860044E-1,-2.874100022E-2,7.286739145E-1
3.530675540E-1,-3.707939982E-1,-6.048349738E-1,-1.203259975E-1,7.195775708E-1
3.580792440E-1,-3.562789857E-1,-5.919589996E-1,-1.832859963E-1,7.148034201E-1
3.630909360E-1,-3.468939960E-1,-5.672420263E-1,-2.185059935E-1,6.998884412E-1
3.681025540E-1,-3.309629858E-1,-5.305979848E-1,-2.267600000E-1,6.651998324E-1
3.731142490E-1,-3.064599931E-1,-4.985829890E-1,-1.833879948E-1,6.132975468E-1
3.781257130E-1,-2.737149894E-1,-4.520969987E-1,-1.434510052E-1,5.476219340E-1
3.831373170E-1,-2.306360006E-1,-3.864769936E-1,-1.183329970E-1,4.653602148E-1
3.881490090E-1,-1.892279983E-1,-3.329069912E-1,-1.122960001E-1,3.990547479E-1
3.931604730E-1,-1.493210047E-1,-2.817929983E-1,-1.015319973E-1,3.346831380E-1
