"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.201984200E-2,-1.310890019E-1,-1.563239992E-1,-3.374899924E-2,2.067861554E-1
4.703145800E-2,9.644100070E-2,-6.729000062E-2,7.178399712E-2,1.377742829E-1
5.204294500E-2,8.565600216E-2,-9.541399777E-2,7.874500006E-2,1.504711159E-1
5.705455900E-2,-2.390100062E-2,-1.402990073E-1,6.887000054E-2,1.581080208E-1
6.206594500E-2,-8.573199809E-2,-1.612730026E-1,6.139599904E-2,1.926873778E-1
6.707740500E-2,-9.903699905E-2,-1.677699983E-1,7.487999648E-2,2.087153885E-1
7.208900000E-2,-1.186020002E-1,-1.958560050E-1,5.751200020E-2,2.360797308E-1
7.710046400E-2,-1.512500048E-1,-2.167340070E-1,5.671200156E-2,2.703080555E-1
8.211184800E-2,-1.756789982E-1,-2.304590046E-1,4.886500165E-2,2.938745508E-1
8.712346700E-2,-1.991620064E-1,-2.445220053E-1,-2.912000054E-3,3.153807153E-1
9.213493000E-2,-2.126120031E-1,-2.683260143E-1,-3.474099934E-2,3.441070340E-1
9.714631500E-2,-2.117460072E-1,-2.564760149E-1,-6.543400139E-2,3.389659663E-1
1.021579280E-1,-1.969600022E-1,-2.518180013E-1,-6.255199760E-2,3.257580400E-1
1.071693920E-1,-1.849250048E-1,-2.521730065E-1,-9.208700061E-2,3.259884942E-1
1.121810050E-1,-1.778780073E-1,-2.502839863E-1,-1.065620035E-1,3.250201838E-1
1.171923920E-1,-1.663880050E-1,-2.532579899E-1,-1.158580035E-1,3.244189492E-1
1.222038510E-1,-1.553090066E-1,-2.490770072E-1,-1.106780022E-1,3.137034638E-1
1.272154670E-1,-1.445640028E-1,-2.498349994E-1,-1.263100058E-1,3.150722066E-1
1.322269150E-1,-1.411049962E-1,-2.458200008E-1,-1.226970032E-1,3.088570014E-1
1.372383000E-1,-1.123000011E-1,-2.441540062E-1,-1.073250026E-1,2.893805888E-1
1.422498990E-1,-1.028259993E-1,-2.256540060E-1,-8.275999874E-2,2.614232850E-1
1.472613630E-1,-1.004929990E-1,-2.286030054E-1,-6.096399948E-2,2.570501627E-1
1.522729600E-1,-1.142840013E-1,-2.147369981E-1,-3.465799987E-2,2.457111887E-1
1.572844240E-1,-1.251209974E-1,-2.010249943E-1,-3.631800041E-2,2.395523105E-1
1.622960320E-1,-1.562319994E-1,-1.706179976E-1,-2.093599923E-2,2.322870096E-1
