"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.756299000E-2,-5.429469943E-1,-6.636639833E-1,-1.087627053E0,1.384981562E0
3.257399000E-2,-3.449819982E-1,-4.717249870E-1,-7.592620254E-1,9.581314449E-1
3.758483600E-2,-7.144100219E-2,-2.311629951E-1,-5.086889863E-1,5.632979956E-1
4.259586500E-2,2.208749950E-1,5.371800065E-2,-2.963339984E-1,3.734772090E-1
4.760671300E-2,5.165969729E-1,2.946229875E-1,-1.409980059E-1,6.111919297E-1
5.261771600E-2,7.373750210E-1,4.199039936E-1,-1.683600061E-2,8.487194686E-1
5.762856400E-2,9.272320271E-1,5.418850183E-1,2.547610104E-1,1.103767085E0
6.263933300E-2,1.067793965E0,5.995669961E-1,6.511960030E-1,1.386982613E0
6.765031700E-2,1.132724047E0,5.097169876E-1,9.686970115E-1,1.575198106E0
7.266116500E-2,1.126641035E0,3.297590017E-1,1.222605944E0,1.694941390E0
7.767224000E-2,1.010162950E0,1.240200028E-1,1.479717016E0,1.795932235E0
8.268299700E-2,8.242359757E-1,-7.889200002E-2,1.706621051E0,1.896877514E0
8.769407200E-2,6.292099953E-1,-2.121540010E-1,1.834125042E0,1.950622774E0
9.270507200E-2,5.042089820E-1,-2.615509927E-1,1.778578997E0,1.867077627E0
9.771584300E-2,3.865579963E-1,-2.702549994E-1,1.496860027E0,1.569412244E0
1.027267080E-1,2.730140090E-1,-2.755829990E-1,1.029386044E0,1.100053756E0
1.077377060E-1,7.959570289E-1,-7.564330101E-1,-5.656160116E-1,1.235176086E0
1.127485540E-1,9.518870115E-1,-6.669409871E-1,-1.422037005E0,1.836596964E0
1.177595520E-1,9.242600203E-2,-3.301810026E-1,-8.049640059E-1,8.749452047E-1
1.227703710E-1,-1.278169990E0,-4.230360091E-1,-7.774300128E-2,1.348600001E0
1.277813690E-1,-2.402937889E0,-6.221410036E-1,1.568579972E-1,2.487121702E0
1.327922180E-1,-2.746001005E0,-6.815639734E-1,-2.593299933E-2,2.829438724E0
1.378032160E-1,-2.167439938E0,-5.296869874E-1,-1.914809942E-1,2.239426078E0
1.428140640E-1,-1.185901046E0,-4.000369906E-1,-1.033020020E-1,1.255811366E0
1.478250620E-1,-3.726339936E-1,-3.714370131E-1,-9.069999796E-4,5.261391171E-1
1.528359100E-1,3.837800026E-2,-3.931899965E-1,-7.451999933E-2,4.020254650E-1
1.578468940E-1,1.200610027E-1,-3.689799905E-1,-3.013359904E-1,4.912883643E-1
1.628577420E-1,1.336439997E-1,-2.174209952E-1,-4.886690080E-1,5.512984738E-1
1.678687440E-1,1.629669964E-1,2.075600065E-2,-5.317469835E-1,5.565464113E-1
1.728795920E-1,1.446990073E-1,1.986140013E-1,-4.463930130E-1,5.095606404E-1
1.778905760E-1,8.108200133E-2,3.092660010E-1,-3.194569945E-1,4.519651775E-1
1.829014240E-1,6.272699684E-2,3.609650135E-1,-2.161020041E-1,4.253592520E-1
1.879124330E-1,1.518419981E-1,4.110839963E-1,-1.344150007E-1,4.583813225E-1
1.929232820E-1,3.023949862E-1,3.970429897E-1,-5.390800163E-2,5.019879839E-1
1.979340510E-1,4.629220068E-1,3.048320115E-1,2.439399995E-2,5.548102440E-1
2.029451210E-1,6.903579831E-1,1.111570001E-1,1.085050032E-1,7.076180885E-1
2.079561210E-1,7.846980095E-1,-4.467900097E-2,1.637000032E-2,7.861393999E-1
2.129669780E-1,7.517499924E-1,-2.009499967E-1,3.218299896E-2,7.788097955E-1
2.179779760E-1,6.418750286E-1,-3.102529943E-1,8.957099915E-2,7.185286610E-1
2.229888100E-1,4.228059947E-1,-3.952359855E-1,8.437799662E-2,5.848897672E-1
2.279995790E-1,1.560920030E-1,-4.870460033E-1,4.554200172E-2,5.134711255E-1
2.330105620E-1,1.527619958E-1,-7.035560012E-1,-3.079819977E-1,7.830582259E-1
2.380214110E-1,8.697000146E-2,-8.075649738E-1,-6.641669869E-1,1.049210539E0
2.430324090E-1,-2.884609997E-1,-7.585650086E-1,-5.156520009E-1,9.615235862E-1
2.480434860E-1,-6.073250175E-1,-6.675320268E-1,-2.572129965E-1,9.384035428E-1
2.530542570E-1,-6.519280076E-1,-6.015120149E-1,-1.521469951E-1,8.999864106E-1
2.580651180E-1,-7.816159725E-1,-4.667330086E-1,-3.644400090E-2,9.110935161E-1
2.630761160E-1,-8.523420095E-1,-3.960370123E-1,9.379100055E-2,9.445257901E-1
2.680869640E-1,-8.263270259E-1,-3.236849904E-1,1.812019944E-1,9.057717646E-1
2.730979620E-1,-6.945819855E-1,-2.857159972E-1,2.229100019E-1,7.834325973E-1
2.781088100E-1,-5.115169883E-1,-2.703660131E-1,2.402099967E-1,6.264569042E-1
2.831198700E-1,-3.160670102E-1,-2.327509969E-1,2.810989916E-1,4.827919061E-1
2.881306410E-1,-1.110550016E-1,-1.572880000E-1,3.197059929E-1,3.732085881E-1
2.931416440E-1,8.710499853E-2,-4.437600076E-2,4.161030054E-1,4.274321248E-1
2.981524930E-1,2.841809988E-1,1.048180014E-1,5.135679841E-1,5.962363020E-1
3.031634910E-1,4.138740003E-1,2.377119958E-1,5.480089784E-1,7.267135071E-1
3.081742620E-1,4.600459933E-1,3.379189968E-1,5.173659921E-1,7.703889499E-1
3.131853370E-1,4.341680110E-1,3.919520080E-1,4.478650093E-1,7.366894223E-1
3.181961850E-1,3.633109927E-1,3.989489973E-1,3.939599991E-1,6.681015347E-1
3.232069490E-1,2.483939976E-1,3.623420000E-1,3.194169998E-1,5.431560759E-1
3.282179470E-1,1.138169989E-1,2.692120075E-1,2.451869994E-1,3.815050182E-1
3.332288000E-1,-2.583299950E-2,1.768240035E-1,1.474249959E-1,2.316639840E-1
3.382397980E-1,-1.356659979E-1,7.109399885E-2,3.780699894E-2,1.577624443E-1
3.432508790E-1,-2.285349965E-1,-7.369999774E-3,-2.873999998E-2,2.304529217E-1
3.482617280E-1,-2.522769868E-1,-4.307200015E-2,-7.603699714E-2,2.669840823E-1
3.532727260E-1,-2.256290019E-1,-4.128900170E-2,-7.305800170E-2,2.407295157E-1
3.582834970E-1,-1.827030033E-1,-2.033700049E-2,5.393800139E-2,1.915810246E-1
3.632945720E-1,-1.999029964E-1,-5.116900057E-2,3.470270038E-1,4.037415212E-1
3.683053530E-1,-1.519429982E-1,1.996400021E-2,4.994409978E-1,5.224237230E-1
3.733161990E-1,-5.521500111E-2,9.825800359E-2,5.238209963E-1,5.358094510E-1
3.783271970E-1,-1.883899979E-2,1.459330022E-1,5.181859732E-1,5.386724903E-1
3.833380450E-1,2.025000006E-2,1.519040018E-1,5.130429864E-1,5.354418681E-1
3.883490430E-1,6.385300308E-2,1.452600062E-1,5.105419755E-1,5.346314470E-1
3.933598860E-1,8.448600024E-2,1.446409971E-1,4.488500059E-1,4.790879147E-1
3.983708850E-1,1.157369986E-1,1.425590068E-1,3.472500145E-1,3.928112726E-1
4.033817380E-1,1.270200014E-1,1.342539936E-1,2.129780054E-1,2.819890891E-1
4.083927360E-1,1.487540007E-1,1.272100061E-1,1.008450016E-1,2.201814087E-1
4.134035840E-1,1.384609938E-1,1.121440008E-1,-1.790600084E-2,1.790763764E-1
4.184145920E-1,1.480119973E-1,1.032370031E-1,-1.480910033E-1,2.334445875E-1
4.234254400E-1,1.113770008E-1,9.381999820E-2,-2.539019883E-1,2.926999283E-1
4.284364230E-1,8.511999995E-2,7.972799987E-2,-3.141820133E-1,3.351302819E-1
4.334472710E-1,5.663700029E-2,5.727000162E-2,-3.007709980E-1,3.113692280E-1
4.384582690E-1,4.211200029E-2,5.006000027E-2,-2.710439861E-1,2.788265887E-1
4.434691220E-1,4.811700061E-2,4.418199882E-2,-2.013420016E-1,2.116740333E-1
4.484801200E-1,2.781799994E-2,3.049300052E-2,-8.931700140E-2,9.839304315E-2
4.534909500E-1,4.973899946E-2,5.979499966E-2,-2.762399986E-2,8.253784235E-2
4.585019480E-1,1.058230028E-1,1.002909988E-1,7.845000364E-3,1.460080011E-1
4.635127760E-1,1.833049953E-1,1.792750061E-1,1.998399943E-2,2.571762223E-1
4.685237740E-1,1.982090026E-1,2.001850009E-1,1.799800061E-2,2.822849116E-1
