"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.731597100E-2,-4.362789989E-1,-4.337019920E-1,-3.563989997E-1,7.109550124E-1
3.232674000E-2,-6.892099977E-2,-1.893659979E-1,6.462000310E-2,2.116254478E-1
3.733750900E-2,3.418129981E-1,5.914700031E-2,5.697399974E-1,6.670368490E-1
4.234827900E-2,7.287780046E-1,2.696129978E-1,9.788799882E-1,1.249805817E0
4.735904800E-2,1.028321981E0,4.387260079E-1,1.353953958E0,1.755880955E0
5.236981700E-2,1.155388951E0,5.542269945E-1,1.625213027E0,2.069639721E0
5.738057700E-2,1.173262000E0,6.283259988E-1,1.771335006E0,2.215618420E0
6.239134700E-2,1.151582956E0,5.821400285E-1,1.739663959E0,2.165978072E0
6.740211600E-2,1.106863022E0,4.901559949E-1,1.637627959E0,2.036473418E0
7.241288500E-2,1.113260031E0,4.629189968E-1,1.445848942E0,1.882583612E0
7.742365400E-2,1.028246045E0,3.533740044E-1,1.172220945E0,1.598832406E0
8.243442400E-2,8.300639987E-1,1.620640010E-1,9.624670148E-1,1.281254751E0
8.744518400E-2,4.911459982E-1,-1.777729988E-1,8.323349953E-1,9.826541482E-1
9.245595400E-2,-3.297499940E-2,-9.851149917E-1,7.974939942E-1,1.267886260E0
9.746672300E-2,-1.407269984E-1,-1.151357055E0,2.289309949E-1,1.182301381E0
1.024774780E-1,-4.542559981E-1,-1.141651034E0,-1.105989963E-1,1.233672458E0
1.074884770E-1,-8.607869744E-1,-1.222602010E0,-1.369570047E-1,1.501488299E0
1.124990120E-1,-9.700719714E-1,-1.223322988E0,-1.673469990E-1,1.570211381E0
1.175097790E-1,-7.911930084E-1,-1.144029975E0,-5.267530084E-1,1.487366697E0
1.225205540E-1,-5.800939798E-1,-9.798169732E-1,-8.825139999E-1,1.440618369E0
1.275313230E-1,-4.783900082E-1,-6.896070242E-1,-6.972129941E-1,1.091109897E0
1.325420820E-1,-3.897730112E-1,-3.456619978E-1,-7.248499990E-2,5.259841178E-1
1.375528510E-1,-1.006980017E-1,-8.458500355E-2,2.717100084E-1,3.018626161E-1
1.425636020E-1,2.181690037E-1,7.260999829E-2,3.220419884E-1,3.957031315E-1
1.475743720E-1,4.484570026E-1,1.886699945E-1,2.468869984E-1,5.455852271E-1
1.525851420E-1,6.453999877E-1,2.971479893E-1,1.205039993E-1,7.206658626E-1
1.575958950E-1,8.319380283E-1,3.984209895E-1,-4.307200015E-2,9.234258850E-1
1.626066640E-1,9.583899975E-1,5.002419949E-1,-1.768160015E-1,1.095453029E0
1.676174140E-1,1.011458993E0,5.733850002E-1,-2.331809998E-1,1.185830102E0
1.726281830E-1,1.006544948E0,6.542369723E-1,-2.527259886E-1,1.226796305E0
1.776389570E-1,9.471560121E-1,7.199249864E-1,-2.307559997E-1,1.211876573E0
1.826497260E-1,8.322719932E-1,7.172240019E-1,-1.963129938E-1,1.116076042E0
1.876604950E-1,6.705800295E-1,6.785060167E-1,-1.399970055E-1,9.641821157E-1
1.926712690E-1,5.666829944E-1,6.222599745E-1,-1.670770049E-1,8.580511742E-1
1.976820380E-1,4.888449907E-1,5.391010046E-1,-2.610549927E-1,7.731423073E-1
2.026928020E-1,3.896999955E-1,4.326359928E-1,-3.481259942E-1,6.784037858E-1
2.077035720E-1,2.789370120E-1,3.215070069E-1,-3.284910023E-1,5.376606278E-1
2.127143420E-1,1.759350002E-1,1.669459939E-1,-2.698400021E-1,3.628191228E-1
2.177251070E-1,1.343709975E-1,-8.341299742E-2,-1.949480027E-1,2.510338959E-1
2.227358760E-1,1.109120026E-1,-3.267570138E-1,-1.157919988E-1,3.639772045E-1
2.277466540E-1,-1.829699986E-2,-5.044059753E-1,4.994900152E-2,5.072031850E-1
2.327574230E-1,-2.035769969E-1,-6.582469940E-1,2.288579941E-1,7.260225067E-1
2.377681920E-1,-3.362520039E-1,-7.849709988E-1,4.212259948E-1,9.521954724E-1
2.427789710E-1,-3.635669947E-1,-8.352789879E-1,5.584310293E-1,1.068511657E0
2.477897400E-1,-4.018410146E-1,-8.329849839E-1,6.078990102E-1,1.106743598E0
2.528005090E-1,-4.306449890E-1,-7.657150030E-1,7.016850114E-1,1.124338218E0
2.578112920E-1,-4.315049946E-1,-6.379749775E-1,7.948579788E-1,1.106800722E0
2.628220610E-1,-3.793079853E-1,-4.986459911E-1,8.061310053E-1,1.020965019E0
2.678328310E-1,-3.079710007E-1,-3.528470099E-1,8.001019955E-1,9.270978119E-1
2.728435160E-1,-2.013749927E-1,-1.986590028E-1,7.480589747E-1,7.997559107E-1
2.778542830E-1,-5.128899962E-2,-2.960000001E-2,6.547620296E-1,6.574344355E-1
2.828650520E-1,1.270429939E-1,1.559749991E-1,5.059369802E-1,5.444633602E-1
2.878758410E-1,2.769890130E-1,2.972219884E-1,3.276099861E-1,5.219119913E-1
2.928866100E-1,3.716000021E-1,3.975630105E-1,8.624099940E-2,5.509813234E-1
2.978973930E-1,3.934499919E-1,4.653669894E-1,-1.799789965E-1,6.354225131E-1
3.029082390E-1,3.694930077E-1,4.998529851E-1,-4.259969890E-1,7.535592373E-1
3.079190110E-1,3.070990145E-1,5.122500062E-1,-6.068459749E-1,8.514528236E-1
3.129297030E-1,2.228209972E-1,4.859580100E-1,-6.898810267E-1,8.727773000E-1
3.179404700E-1,1.561190039E-1,4.491559863E-1,-6.519680023E-1,8.069550914E-1
3.229512300E-1,1.158050001E-1,4.026260078E-1,-5.461279750E-1,6.883126217E-1
3.279620000E-1,1.312920004E-1,2.954039872E-1,-4.210219979E-1,5.308112920E-1
