"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.326722000E-2,2.000473976E0,-2.534200065E-2,1.788969934E-1,2.008617057E0
4.827852600E-2,1.959606051E0,-6.580500305E-2,1.472090036E-1,1.966229047E0
5.328992500E-2,1.854792953E0,-8.657400310E-2,8.750600368E-2,1.858873114E0
5.830130900E-2,1.815525055E0,-6.475500017E-2,3.291099891E-2,1.816977592E0
6.331246900E-2,1.688917041E0,-3.643099964E-2,-1.879899949E-2,1.689414511E0
6.832377500E-2,1.589190006E0,-2.277199924E-2,-2.699900046E-2,1.589582456E0
7.333515900E-2,1.476405978E0,-7.899999764E-5,-3.478499874E-2,1.476815701E0
7.834631500E-2,1.436939955E0,2.904699929E-2,-2.084499970E-2,1.437384665E0
8.335760600E-2,1.391742945E0,4.550600052E-2,1.958700083E-2,1.392624454E0
8.836876200E-2,1.343036056E0,3.792700171E-2,6.264200062E-2,1.345030975E0
9.338012500E-2,1.311635971E0,3.940400109E-2,8.188299835E-2,1.314779990E0
9.839143500E-2,1.278280020E0,2.900600061E-2,7.020299882E-2,1.280534895E0
1.034027990E-1,1.252395988E0,4.914999940E-3,2.288999967E-2,1.252614793E0
1.084139550E-1,1.171087980E0,-2.527399920E-2,-2.164199948E-2,1.171560587E0
1.134253170E-1,1.087147951E0,-3.136200085E-2,-1.089899987E-2,1.087654831E0
1.184366270E-1,1.000717998E0,-5.157300085E-2,8.143699914E-2,1.005349825E0
1.234477670E-1,9.280210137E-1,-4.133599997E-2,1.283729970E-1,9.377693177E-1
1.284591490E-1,8.664180040E-1,-1.304300036E-2,1.657180041E-1,8.822203435E-1
1.334704500E-1,8.529220223E-1,-3.650499880E-2,9.081199765E-2,8.585193126E-1
1.384818330E-1,8.790779710E-1,-4.724700004E-2,-7.859000005E-3,8.803818047E-1
1.434929890E-1,8.832600117E-1,-5.477600172E-2,-1.254799962E-1,8.938086417E-1
1.485043710E-1,9.035249949E-1,-8.010800183E-2,-2.189050019E-1,9.331099121E-1
1.535156810E-1,9.717630148E-1,-6.720499694E-2,-2.524519861E-1,1.006266304E0
1.585268200E-1,1.051763058E0,-5.953500047E-2,-2.213770002E-1,1.076456094E0
1.635382020E-1,1.104071021E0,-4.556500167E-2,-1.520259976E-1,1.115419604E0
1.685495120E-1,1.159834981E0,-4.882400110E-2,-6.825400144E-2,1.162866964E0
1.735606750E-1,1.174870968E0,-4.341800138E-2,3.945900127E-2,1.176334955E0
1.785719810E-1,1.124580026E0,-4.353800043E-2,1.208840013E-1,1.131896079E0
1.835833650E-1,1.061900020E0,-2.330300026E-2,1.807190031E-1,1.077420085E0
1.885945210E-1,9.637129903E-1,-4.103500023E-2,1.545449942E-1,9.768883018E-1
1.936059040E-1,8.729469776E-1,-4.411600158E-2,7.822600007E-2,8.775545307E-1
1.986172130E-1,8.197939992E-1,-2.115399949E-2,1.149199996E-2,8.201474007E-1
2.036285960E-1,7.938740253E-1,1.075599995E-2,-2.655700035E-2,7.943909201E-1
2.086397520E-1,7.690610290E-1,4.182099923E-2,7.102000061E-3,7.702300310E-1
2.136510580E-1,7.360630035E-1,7.431700081E-2,3.108300082E-2,7.404579088E-1
2.186622140E-1,6.859729886E-1,7.315299660E-2,7.897400111E-2,6.943681983E-1
2.236735960E-1,6.402789950E-1,7.182899863E-2,9.811799973E-2,6.517236672E-1
2.286849810E-1,6.312140226E-1,4.966599867E-2,5.995000154E-2,6.359967425E-1
2.336963650E-1,5.487549901E-1,1.219400018E-2,1.474200003E-2,5.490883894E-1
2.387074540E-1,4.599829912E-1,-1.013300009E-2,5.454999860E-3,4.601269248E-1
2.437188370E-1,3.738059998E-1,-1.569399983E-2,2.959799953E-2,3.753042348E-1
2.487301420E-1,3.803380132E-1,-3.515300155E-2,4.665800184E-2,3.847982678E-1
2.537412960E-1,3.307670057E-1,-3.336500004E-2,8.996199816E-2,3.444026661E-1
2.587526780E-1,3.406459987E-1,-2.036499977E-2,1.331810057E-1,3.663217301E-1
2.637639690E-1,3.873139918E-1,-1.227500010E-2,1.190200001E-1,4.053745975E-1
2.687753520E-1,4.255410135E-1,-1.802000031E-2,4.995699972E-2,4.288421346E-1
2.737865110E-1,4.740790129E-1,-1.608199999E-2,-1.177299954E-2,4.744977815E-1
2.787978940E-1,5.371819735E-1,5.059000105E-3,-8.056099713E-2,5.432127947E-1
2.838092090E-1,5.772259831E-1,2.603100054E-2,-7.988700271E-2,5.833089934E-1
2.888203630E-1,6.157220006E-1,5.373800173E-2,-7.917200029E-2,6.231127992E-1
2.938317450E-1,6.366260052E-1,9.480900317E-2,-5.937499925E-2,6.463797708E-1
2.988430550E-1,5.990120173E-1,1.185130030E-1,-1.336800028E-2,6.107695409E-1
3.038542090E-1,5.235159993E-1,1.041819975E-1,3.256300092E-2,5.347740076E-1
3.088655910E-1,4.042919874E-1,9.234599769E-2,5.438699946E-2,4.182555918E-1
3.138769010E-1,2.962059975E-1,5.709400028E-2,1.071899980E-1,3.201365544E-1
3.188882990E-1,2.102199942E-1,3.855000064E-2,1.574410051E-1,2.654547393E-1
3.238994550E-1,1.595329940E-1,2.687799931E-2,2.051589936E-1,2.612726845E-1
3.289108320E-1,1.404000074E-1,8.227000013E-3,2.074169964E-1,2.506025857E-1
3.339221420E-1,2.049980015E-1,-4.459699988E-2,1.262969971E-1,2.448754877E-1
3.389332960E-1,1.117589995E-1,-5.834300071E-2,7.147400081E-2,1.449224361E-1
3.439446780E-1,-7.599999662E-5,-7.129400223E-2,4.531100020E-2,8.447441784E-2
3.489559880E-1,-9.986899793E-2,-8.380100131E-2,5.497099832E-2,1.414858128E-1
3.539671420E-1,-9.283000231E-2,-8.948200196E-2,1.364150047E-1,1.877058644E-1
3.589785250E-1,-3.725500032E-2,-9.082999825E-2,1.915690005E-1,2.152596237E-1
3.639898190E-1,2.210799977E-2,-9.130699933E-2,-6.748000160E-3,9.418740513E-2
