"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.921709300E-2,5.603799969E-2,1.189999981E-3,2.118850052E-1,2.191732852E-1
4.422870300E-2,3.629000112E-2,-3.451900184E-2,1.472740024E-1,1.555575696E-1
4.924016600E-2,3.367799893E-2,-4.173000157E-2,4.916400090E-2,7.275094245E-2
5.425154700E-2,2.472100034E-2,-5.128600076E-2,-4.415600002E-2,7.204952512E-2
5.926316000E-2,1.187600009E-2,-3.722999990E-2,-9.440100193E-2,1.021697677E-1
6.427461900E-2,-4.916000180E-3,-2.562100068E-2,-1.159290001E-1,1.188281776E-1
6.928623200E-2,-2.804099955E-2,-7.102000061E-3,-8.959099650E-2,9.414500898E-2
7.429769500E-2,-5.303400010E-2,-7.280999795E-3,-5.368399993E-2,7.581286152E-2
7.930930800E-2,-8.002600074E-2,-7.267000154E-3,-1.059400011E-2,8.105061951E-2
8.432076700E-2,-9.283299744E-2,-1.403199974E-2,2.531399950E-2,9.724022317E-2
8.933238000E-2,-8.705499768E-2,-2.755500004E-2,4.446899891E-2,1.015644747E-1
9.434383000E-2,-9.329599887E-2,-3.602899984E-2,4.687400162E-2,1.104509134E-1
9.935544300E-2,-9.244800359E-2,-4.901200160E-2,5.167099833E-2,1.166991934E-1
1.043668200E-1,-9.841600060E-2,-5.934499949E-2,6.843400002E-2,1.337563101E-1
1.093782790E-1,-8.314099908E-2,-6.722799689E-2,8.759099990E-2,1.382179893E-1
1.143898850E-1,-6.826099753E-2,-6.791099906E-2,8.760099858E-2,1.301745080E-1
1.194013480E-1,-4.673599824E-2,-7.339499891E-2,7.803799957E-2,1.168803182E-1
1.244129720E-1,-1.669000089E-2,-7.186999917E-2,8.282600343E-2,1.109233959E-1
1.294244350E-1,-6.227000151E-3,-6.592600048E-2,6.129200011E-2,9.023149310E-2
1.344360440E-1,1.993799955E-2,-4.402900115E-2,2.300300077E-2,5.352770135E-2
1.394474300E-1,2.412999980E-2,-3.451399878E-2,1.103399973E-2,4.353414926E-2
1.444588900E-1,2.807700075E-2,-4.146999866E-2,-9.360000258E-4,5.008946851E-2
1.494705000E-1,4.118999932E-3,-3.423200175E-2,-2.725799941E-2,4.395218579E-2
1.544819640E-1,-1.447699964E-2,-2.941199951E-2,-1.529099979E-2,3.617269562E-2
1.594935480E-1,-6.250499934E-2,-5.929999985E-3,-1.287900005E-2,6.409296751E-2
1.645049350E-1,-7.182099670E-2,-3.926000092E-3,-3.917999938E-2,8.190690689E-2
1.695163840E-1,-6.459499896E-2,4.529999860E-4,-7.026699930E-2,9.544721206E-2
1.745280000E-1,-6.472299993E-2,-2.070299909E-2,-8.221600205E-2,1.066637327E-1
