"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.522169000E-2,8.244200051E-2,-4.406270087E-1,-5.408599973E-2,4.515242403E-1
5.023330500E-2,3.478130102E-1,-3.768369853E-1,2.511140108E-1,5.709975920E-1
5.524444100E-2,1.810500026E-1,-3.371559978E-1,2.063309997E-1,4.347709186E-1
6.025605400E-2,1.309179962E-1,-3.808329999E-1,3.069489896E-1,5.063506471E-1
6.526744100E-2,1.125290021E-1,-3.910779953E-1,3.053880036E-1,5.087893547E-1
7.027882600E-2,8.775299788E-2,-3.631289899E-1,3.023340106E-1,4.805924531E-1
7.529022400E-2,5.226600170E-2,-3.424470127E-1,2.976830006E-1,4.567459472E-1
8.030160900E-2,8.706999943E-3,-3.028239906E-1,2.731890082E-1,4.079343272E-1
8.531299400E-2,-5.615999922E-3,-2.656889856E-1,2.734130025E-1,3.812831578E-1
9.032437300E-2,-2.168500051E-2,-2.216989994E-1,2.283100039E-1,3.189767130E-1
9.533575800E-2,-2.105800062E-2,-1.928559989E-1,6.471300125E-2,2.045107533E-1
1.003471560E-1,3.119999892E-4,-1.524509937E-1,-1.452900004E-2,1.531420734E-1
1.053586160E-1,1.628700085E-2,-1.265860051E-1,-4.695000127E-2,1.359911236E-1
1.103699940E-1,3.180599958E-2,-1.272249967E-1,-8.994500339E-2,1.590217753E-1
1.153813780E-1,4.224999994E-2,-1.423660070E-1,-1.222940013E-1,1.923771431E-1
1.203927620E-1,5.698499829E-2,-1.599529982E-1,-1.398590058E-1,2.199836202E-1
1.254043750E-1,6.658899784E-2,-1.728270054E-1,-1.591980010E-1,2.442279099E-1
1.304155210E-1,8.055099845E-2,-1.689330041E-1,-1.571609974E-1,2.443898573E-1
1.354271350E-1,8.726599813E-2,-1.745930016E-1,-1.551990062E-1,2.493688075E-1
1.404383000E-1,7.981500030E-2,-1.898500025E-1,-1.697629988E-1,2.668949859E-1
1.454496830E-1,6.801600009E-2,-2.194669992E-1,-1.794590056E-1,2.915432638E-1
1.504612830E-1,7.732199878E-2,-2.299029976E-1,-1.774629951E-1,3.005448293E-1
1.554726700E-1,6.310799718E-2,-2.426690012E-1,-1.687240005E-1,3.022228512E-1
1.604840500E-1,7.237000018E-2,-2.602390051E-1,-1.813600063E-1,3.253509007E-1
1.654954340E-1,7.435499877E-2,-2.753629982E-1,-1.776539981E-1,3.360273645E-1
1.705068940E-1,5.990400165E-2,-2.665680051E-1,-1.881819963E-1,3.317520980E-1
1.755181900E-1,5.290599912E-2,-2.720780075E-1,-1.847179979E-1,3.330859133E-1
1.805295720E-1,5.532500148E-2,-2.703500092E-1,-1.769450009E-1,3.278101838E-1
1.855410340E-1,4.607399926E-2,-2.733750045E-1,-1.741700023E-1,3.274017352E-1
1.905524050E-1,4.875300080E-2,-2.906779945E-1,-1.576739997E-1,3.342628333E-1
1.955637900E-1,5.366700143E-2,-3.007110059E-1,-1.347520053E-1,3.338642824E-1
2.005754030E-1,5.848599970E-2,-3.081670105E-1,-8.222100139E-2,3.242650330E-1
2.055867660E-1,6.321299821E-2,-3.322040141E-1,-3.584799916E-2,3.400595082E-1
2.105981510E-1,5.625100061E-2,-3.418360054E-1,-1.620700024E-2,3.468121920E-1
2.156095350E-1,4.961799830E-2,-3.490599990E-1,-3.859000048E-3,3.525900176E-1
2.206209200E-1,3.165899962E-2,-3.539269865E-1,-3.146999981E-3,3.553540595E-1
2.256323790E-1,2.126099914E-2,-3.348979950E-1,2.309999982E-4,3.355722731E-1
2.306436840E-1,6.554999854E-3,-3.135839999E-1,-1.936700009E-2,3.142498587E-1
2.356550670E-1,-3.059000010E-3,-2.852039933E-1,-3.563800082E-2,2.874382410E-1
2.406664610E-1,8.551999927E-3,-2.664369941E-1,-3.962299973E-2,2.695028583E-1
2.456778460E-1,1.974299923E-2,-2.381729931E-1,-5.016399920E-2,2.441978449E-1
2.506893080E-1,3.987200186E-2,-2.171570063E-1,-6.250700355E-2,2.294647411E-1
2.557006890E-1,5.932899937E-2,-2.033710033E-1,-6.966400146E-2,2.230084488E-1
2.607120740E-1,7.123000175E-2,-1.728630066E-1,-7.417400181E-2,2.011395405E-1
2.657234430E-1,7.582099736E-2,-1.615419984E-1,-8.070600033E-2,1.958522386E-1
2.707348280E-1,5.710100010E-2,-1.501380056E-1,-5.677000061E-2,1.703665986E-1
2.757462130E-1,4.831099883E-2,-1.459580064E-1,-6.352599710E-2,1.663527714E-1
2.807575880E-1,4.441000149E-2,-1.417949945E-1,-6.291899830E-2,1.613594405E-1
2.857689720E-1,3.828199953E-2,-1.424259990E-1,-5.982299894E-2,1.591523418E-1
2.907805520E-1,3.703499958E-2,-1.478720009E-1,-6.599900126E-2,1.661131784E-1
2.957917080E-1,3.813200071E-2,-1.509180069E-1,-6.026899815E-2,1.669210784E-1
3.008033220E-1,3.459599987E-2,-1.659010053E-1,-5.231500044E-2,1.773608920E-1
3.058147180E-1,1.259099972E-2,-1.689220071E-1,-4.906700179E-2,1.763540428E-1
3.108261780E-1,1.210900024E-2,-1.742800027E-1,-3.194399923E-2,1.775966394E-1
3.158374720E-1,1.162100025E-2,-2.130409926E-1,-3.686999902E-3,2.133895643E-1
3.208488540E-1,4.153000191E-3,-2.373660058E-1,1.672999933E-2,2.379910943E-1
3.258602390E-1,1.769999973E-2,-2.664560080E-1,2.976300009E-2,2.686967256E-1
3.308716230E-1,2.390800044E-2,-2.931109965E-1,4.480699822E-2,2.974782611E-1
3.358830080E-1,4.380299896E-2,-3.030610085E-1,4.347800091E-2,3.092814481E-1
3.408944660E-1,5.846799910E-2,-3.202559948E-1,3.315199912E-2,3.272330426E-1
3.459058520E-1,6.347999722E-2,-3.207969964E-1,1.178400032E-2,3.272297138E-1
3.509172460E-1,6.150799990E-2,-3.190189898E-1,3.043999895E-3,3.249086269E-1
3.559286300E-1,6.892800331E-2,-3.364480138E-1,-2.684999956E-3,3.434465677E-1
3.609402490E-1,6.934200227E-2,-3.563619852E-1,-1.466299966E-2,3.633416868E-1
3.659514050E-1,7.224100083E-2,-3.692890108E-1,-4.877299815E-2,3.794363465E-1
3.709630180E-1,7.980400324E-2,-4.038720131E-1,-6.967700273E-2,4.175358267E-1
3.759744290E-1,8.951000124E-2,-4.338069856E-1,-8.441600204E-2,4.509175118E-1
3.809858130E-1,7.127600163E-2,-4.471479952E-1,-1.094089970E-1,4.658239224E-1
3.859971980E-1,6.532199681E-2,-4.822059870E-1,-1.395799965E-1,5.062332985E-1
3.910086070E-1,5.735100061E-2,-5.127099752E-1,-1.815630049E-1,5.469239259E-1
3.960199910E-1,3.817199916E-2,-5.649219751E-1,-2.141730040E-1,6.053627137E-1
4.010313900E-1,1.981200092E-2,-6.196960211E-1,-2.493000031E-1,6.682560628E-1
4.060428490E-1,-4.821999930E-3,-6.818429828E-1,-2.960830033E-1,7.433695243E-1
4.110541590E-1,-3.538399935E-2,-7.441020012E-1,-3.192009926E-1,8.104499301E-1
4.160656240E-1,-7.170599699E-2,-8.375869989E-1,-3.518539965E-1,9.113149651E-1
4.210770100E-1,-1.042309999E-1,-9.455339909E-1,-3.867630064E-1,1.026880837E0
4.260883950E-1,-1.167190000E-1,-1.062206984E0,-4.360420108E-1,1.154140215E0
4.310997850E-1,-1.481200010E-1,-1.202875972E0,-4.765770137E-1,1.302296352E0
4.361111690E-1,-1.984360069E-1,-1.353171945E0,-5.227239728E-1,1.464135073E0
4.411225590E-1,-2.320410013E-1,-1.522657990E0,-5.433229804E-1,1.633257556E0
4.461339430E-1,-2.945289910E-1,-1.677835941E0,-5.861070156E-1,1.801499988E0
4.511453270E-1,-3.213990033E-1,-1.813889980E0,-6.465280056E-1,1.952304444E0
4.561567150E-1,-3.126380146E-1,-1.959509969E0,-7.342759967E-1,2.115793725E0
4.611683300E-1,-2.634350061E-1,-2.073981047E0,-8.736919761E-1,2.265862541E0
4.661797220E-1,-1.857099980E-1,-2.178803921E0,-1.005262971E0,2.406704878E0
4.711911060E-1,-1.488119960E-1,-2.300288916E0,-1.033507943E0,2.526185420E0
4.762024910E-1,-1.551479995E-1,-2.412107944E0,-9.488620162E-1,2.596666086E0
4.812138710E-1,-1.616339982E-1,-2.533417940E0,-7.437210083E-1,2.645269919E0
4.862252550E-1,-1.705199927E-1,-2.645071983E0,-4.849030077E-1,2.694552614E0
4.912367150E-1,-1.840520054E-1,-2.739887953E0,-2.511749864E-1,2.757526067E0
4.962481250E-1,-1.949139982E-1,-2.832207918E0,-1.189830005E-1,2.841399323E0
5.012595100E-1,-2.150820047E-1,-2.957907915E0,-6.205900013E-2,2.966366603E0
5.062708180E-1,-2.374020070E-1,-3.085859060E0,1.506999973E-2,3.095014210E0
5.112822680E-1,-2.622109950E-1,-3.220841885E0,1.100099981E-1,3.233369643E0
5.162936550E-1,-2.729040086E-1,-3.367629051E0,2.251359969E-1,3.386161284E0
5.213050600E-1,-2.934879959E-1,-3.514242887E0,3.749119937E-1,3.546349853E0
5.263166730E-1,-3.002240062E-1,-3.639139891E0,5.379700065E-1,3.690919306E0
5.313280600E-1,-2.978940010E-1,-3.730339050E0,6.904990077E-1,3.805385545E0
5.363394530E-1,-2.815900147E-1,-3.766277075E0,8.302180171E-1,3.866962360E0
5.413508380E-1,-2.681159973E-1,-3.763685942E0,9.187819958E-1,3.883475043E0
5.463622030E-1,-2.286349982E-1,-3.701004028E0,9.561359882E-1,3.829347308E0
5.513735880E-1,-1.605720073E-1,-3.587783098E0,9.515500069E-1,3.715295189E0
5.563849490E-1,-7.332000136E-2,-3.452716112E0,9.023889899E-1,3.569443971E0
5.613963330E-1,1.655000076E-2,-3.279048920E0,7.940589786E-1,3.373865051E0
5.664077170E-1,7.566300035E-2,-3.105061054E0,6.646029949E-1,3.176291262E0
5.714190960E-1,1.519419998E-1,-2.858964920E0,5.304049850E-1,2.911717059E0
5.764304800E-1,2.288240045E-1,-2.598198891E0,3.817130029E-1,2.636039210E0
5.814419330E-1,2.680880129E-1,-2.344305992E0,2.087700069E-1,2.368802795E0
5.864533190E-1,2.866269946E-1,-2.092519045E0,3.041600063E-2,2.112277472E0
5.914647040E-1,2.867850065E-1,-1.876353025E0,-1.558060050E-1,1.904526668E0
5.964760890E-1,2.710970044E-1,-1.679080963E0,-3.477460146E-1,1.736010875E0
6.014874730E-1,2.083490044E-1,-1.512698054E0,-5.217210054E-1,1.613647272E0
6.064988580E-1,1.248250008E-1,-1.393975973E0,-6.609780192E-1,1.547786237E0
6.115102520E-1,2.747599967E-2,-1.330132961E0,-7.825099826E-1,1.543479996E0
6.165216360E-1,-1.076790020E-1,-1.309218049E0,-8.192620277E-1,1.548172128E0
6.215332500E-1,-2.498210073E-1,-1.345607042E0,-7.878550291E-1,1.579172060E0
6.265444150E-1,-4.015339911E-1,-1.427338004E0,-6.952959895E-1,1.637669025E0
6.315560290E-1,-5.606709719E-1,-1.549615979E0,-5.149480104E-1,1.726508927E0
6.365674150E-1,-6.891509891E-1,-1.690871000E0,-2.822310030E-1,1.847600651E0
6.415787950E-1,-7.729409933E-1,-1.870218039E0,-3.260400146E-2,2.023911142E0
6.465901800E-1,-8.026270270E-1,-2.022998095E0,2.104229927E-1,2.186551914E0
6.516015640E-1,-7.592290044E-1,-2.139631033E0,4.038510025E-1,2.305980327E0
6.566129580E-1,-6.354910135E-1,-2.248791933E0,5.192109942E-1,2.393845033E0
6.616243430E-1,-4.838460088E-1,-2.321749926E0,5.756360292E-1,2.440488991E0
6.666358020E-1,-2.585229874E-1,-2.341762066E0,5.513420105E-1,2.419640825E0
6.716471890E-1,-4.534799978E-2,-2.323227882E0,4.961569905E-1,2.376050503E0
6.766584960E-1,1.584990025E-1,-2.304471016E0,4.121179879E-1,2.346390810E0
6.816698840E-1,3.365660012E-1,-2.261614084E0,3.226659894E-1,2.309174805E0
6.866813460E-1,4.724630117E-1,-2.204287052E0,2.537780106E-1,2.268591189E0
6.916927470E-1,5.494980216E-1,-2.170821905E0,2.147829980E-1,2.249566082E0
6.967041320E-1,5.558230281E-1,-2.137310982E0,1.984460056E-1,2.217299774E0
7.017155170E-1,5.248969793E-1,-2.067888975E0,2.214619964E-1,2.144930551E0
7.067268910E-1,4.686749876E-1,-1.998399019E0,2.985259891E-1,2.074216153E0
7.117382760E-1,3.775469959E-1,-1.931210041E0,4.107320011E-1,2.010177787E0
7.167496550E-1,2.369250059E-1,-1.873433948E0,5.537589788E-1,1.967876323E0
7.217610390E-1,8.017200232E-2,-1.822594047E0,7.113119960E-1,1.958121897E0
7.267726380E-1,-5.944000185E-2,-1.754660964E0,8.696269989E-1,1.959239477E0
7.317840250E-1,-1.797239929E-1,-1.691102028E0,9.763489962E-1,1.960965105E0
7.367954050E-1,-2.761099935E-1,-1.600772023E0,1.029283047E0,1.923052623E0
7.418067890E-1,-3.632110059E-1,-1.536280990E0,9.974520206E-1,1.867348936E0
7.468181740E-1,-3.957670033E-1,-1.466575027E0,8.948720098E-1,1.763028571E0
7.518295590E-1,-3.906899989E-1,-1.391728997E0,7.092519999E-1,1.610151135E0
7.568409430E-1,-3.241119981E-1,-1.338098049E0,5.145390034E-1,1.469797728E0
7.618523570E-1,-2.321079969E-1,-1.274723053E0,3.340370059E-1,1.338048469E0
7.668637410E-1,-1.098470017E-1,-1.218405962E0,1.938309968E-1,1.238608052E0
7.718751250E-1,1.159400027E-2,-1.181216955E0,7.437799871E-2,1.183613114E0
7.768865040E-1,1.370609999E-1,-1.132132053E0,3.992899880E-2,1.141097292E0
7.818978880E-1,2.474150062E-1,-1.068778992E0,4.742899910E-2,1.098067497E0
7.869093500E-1,3.450349867E-1,-1.029446006E0,1.184810027E-1,1.092174880E0
7.919207370E-1,4.107660055E-1,-9.878270030E-1,1.741169989E-1,1.083903883E0
7.969320920E-1,4.637219906E-1,-9.510679841E-1,2.647680044E-1,1.090720171E0
8.019434770E-1,5.181909800E-1,-9.311069846E-1,3.427540064E-1,1.119358038E0
8.069548610E-1,5.550749898E-1,-9.350649714E-1,4.274510145E-1,1.168404517E0
8.119662320E-1,5.934500098E-1,-9.437479973E-1,4.927519858E-1,1.218871493E0
8.169776170E-1,6.120219827E-1,-9.810389876E-1,5.316410065E-1,1.272654927E0
8.219892300E-1,6.181129813E-1,-1.018115997E0,6.162279844E-1,1.341029743E0
8.270003860E-1,5.665109754E-1,-1.047698975E0,7.396460176E-1,1.402028551E0
8.320119990E-1,4.956800044E-1,-1.038583040E0,9.021760225E-1,1.462284163E0
8.370231690E-1,3.867050111E-1,-9.978309870E-1,1.020378947E0,1.478641485E0
8.420347830E-1,2.515259981E-1,-9.444800019E-1,1.075394034E0,1.453196522E0
8.470461690E-1,7.594999671E-2,-8.713170290E-1,9.547929764E-1,1.294832574E0
8.520575540E-1,-3.889499977E-2,-7.943040133E-1,7.167649865E-1,1.070599707E0
8.570689380E-1,-6.446500123E-2,-6.277400255E-1,3.742949963E-1,7.336961362E-1
8.620803230E-1,-7.518400252E-2,-4.504469931E-1,-1.042400021E-2,4.567973157E-1
8.670917080E-1,-8.760400116E-2,-2.389059961E-1,-3.866440058E-1,4.628651242E-1
8.721030970E-1,-1.178980023E-1,-4.836000130E-2,-7.580199838E-1,7.686565712E-1
