"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.499865400E-2,2.969459891E-1,-8.265800029E-2,-1.361380070E-1,3.369611586E-1
3.000942300E-2,3.750190139E-1,2.170499973E-2,-1.380899996E-1,4.002239570E-1
3.502019200E-2,4.356169999E-1,1.920100003E-1,-1.017509997E-1,4.868092817E-1
4.003103800E-2,5.511810184E-1,3.819540143E-1,-4.879799858E-2,6.723619774E-1
4.504203800E-2,7.124159932E-1,5.846059918E-1,9.410999715E-2,9.263678560E-1
5.005281000E-2,9.064480066E-1,7.483649850E-1,2.879689932E-1,1.210216625E0
5.506366900E-2,1.107337952E0,8.527979851E-1,4.990760088E-1,1.484095214E0
6.007444000E-2,1.241166949E0,8.660029769E-1,7.086099982E-1,1.671102834E0
6.508520900E-2,1.321053982E0,8.021960258E-1,1.009232998E0,1.845874679E0
7.009596400E-2,1.476459026E0,6.521340013E-1,1.215283990E0,2.020426982E0
7.510696200E-2,1.326853991E0,4.978890121E-1,1.843708992E0,2.325445727E0
8.011772400E-2,9.997119904E-1,2.715120018E-1,2.266629934E0,2.492138457E0
8.512856800E-2,6.180520058E-1,-7.120700181E-2,2.286268950E0,2.369405923E0
9.013932900E-2,2.405869961E-1,-4.181810021E-1,2.101006985E0,2.155687316E0
9.515009900E-2,-5.942799896E-2,-6.950259805E-1,1.880293965E0,2.005516940E0
1.001610920E-1,-2.897959948E-1,-8.725860119E-1,1.594964981E0,1.841005529E0
1.051718630E-1,-4.041129947E-1,-9.610040188E-1,9.118710160E-1,1.385043244E0
1.101826830E-1,-4.913249910E-1,-1.056110024E0,1.087013960E0,1.593225652E0
1.151934540E-1,-4.884060025E-1,-1.067684054E0,1.122009993E0,1.624006184E0
1.202042230E-1,-4.100590050E-1,-1.025560021E0,1.134557962E0,1.583396197E0
1.252152210E-1,-3.133639991E-1,-9.779229760E-1,1.086578965E0,1.495053240E0
1.302260700E-1,-2.245209962E-1,-9.690449834E-1,1.034873009E0,1.435416317E0
1.352368240E-1,-1.343069971E-1,-9.391319752E-1,9.889039993E-1,1.370378910E0
1.402475930E-1,-2.243399993E-2,-8.575839996E-1,9.940630198E-1,1.313055554E0
1.452583570E-1,7.309400290E-2,-7.676339746E-1,9.882580042E-1,1.253498518E0
1.502693550E-1,1.437740028E-1,-6.974250078E-1,9.714279771E-1,1.204468729E0
1.552801220E-1,2.304569930E-1,-6.190549731E-1,8.913249969E-1,1.109414141E0
1.602908910E-1,3.262610137E-1,-5.272899866E-1,6.316499710E-1,8.851342638E-1
1.653017200E-1,3.908630013E-1,-4.277620018E-1,2.933140099E-1,6.494515566E-1
1.703124910E-1,3.981539905E-1,-3.343630135E-1,-2.341799997E-2,5.204552120E-1
1.753234850E-1,3.573899865E-1,-2.270070016E-1,-2.377510071E-1,4.855773086E-1
1.803342560E-1,2.937160134E-1,-9.728299826E-2,-3.002839983E-1,4.311653487E-1
1.853450260E-1,1.860650033E-1,-2.179200016E-2,-2.862280011E-1,3.420841203E-1
1.903558790E-1,9.537500143E-2,2.725300007E-2,-1.893420070E-1,2.137510527E-1
1.953666500E-1,9.034900367E-2,1.094119996E-1,-2.911000047E-3,1.419239305E-1
2.003774290E-1,1.754239947E-1,2.100179940E-1,2.440190017E-1,3.666420720E-1
2.053884270E-1,2.748909891E-1,2.437880039E-1,4.507899880E-1,5.815576154E-1
2.103992760E-1,3.520269990E-1,2.284460068E-1,6.532239914E-1,7.764097945E-1
2.154100540E-1,3.733739853E-1,1.415150017E-1,8.463870287E-1,9.358448755E-1
2.204208230E-1,3.643090129E-1,2.167100087E-2,1.032817960E0,1.095401126E0
2.254315920E-1,3.811169863E-1,-1.990340054E-1,1.238631964E0,1.311134560E0
2.304425710E-1,1.990399957E-1,-3.577220142E-1,1.382812977E0,1.442135114E0
2.354533430E-1,-4.078999907E-2,-4.958539903E-1,1.520707965E0,1.600027412E0
2.404641120E-1,-1.927479953E-1,-6.551129818E-1,1.655061960E0,1.790406351E0
2.454749560E-1,-2.973319888E-1,-8.149560094E-1,1.716909051E0,1.923625821E0
2.504857270E-1,-3.945429921E-1,-9.878450036E-1,1.641922951E0,1.956377494E0
2.554967250E-1,-4.674090147E-1,-1.198063970E0,1.413506031E0,1.910975605E0
2.605075830E-1,-5.624110103E-1,-1.343225002E0,1.093693972E0,1.821188089E0
2.655183530E-1,-6.302300096E-1,-1.395426035E0,7.030419707E-1,1.684835807E0
2.705291220E-1,-6.562399864E-1,-1.361719966E0,3.042779863E-1,1.541919997E0
2.755398910E-1,-6.312519908E-1,-1.225808024E0,-9.719599783E-2,1.382219755E0
2.805508890E-1,-5.373529792E-1,-1.018095970E0,-4.367780089E-1,1.231276840E0
2.855616640E-1,-4.449009895E-1,-7.637979984E-1,-7.572600245E-1,1.163944594E0
2.905724340E-1,-3.387709856E-1,-5.038350224E-1,-1.050971985E0,1.213737049E0
2.955832830E-1,-2.212460041E-1,-2.208019942E-1,-1.265795946E0,1.303818504E0
3.005940540E-1,-4.901500046E-2,6.464300305E-2,-1.435534954E0,1.437825369E0
3.056048230E-1,1.496080011E-1,3.199479878E-1,-1.548531055E0,1.588300255E0
3.106158400E-1,3.394410014E-1,5.459330082E-1,-1.602609038E0,1.726736451E0
3.156266120E-1,4.877460003E-1,7.291820049E-1,-1.617179990E0,1.839802619E0
