"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.503750500E-2,5.311999936E-3,7.750599831E-2,-1.106830001E0,1.109553085E0
3.004827400E-2,-7.162699848E-2,1.605149955E-1,-9.824650288E-1,9.980646389E-1
3.505904300E-2,-2.479380071E-1,2.257499993E-1,-7.565119863E-1,8.274942313E-1
4.007012500E-2,-3.422929943E-1,2.563450038E-1,-5.703179836E-1,7.128392928E-1
4.508089700E-2,-2.345820069E-1,2.472960055E-1,-4.276500046E-1,5.468716109E-1
5.009189000E-2,8.829999715E-2,2.532019913E-1,-2.273290008E-1,3.515488764E-1
5.510273800E-2,4.622940123E-1,2.517870069E-1,8.696500212E-2,5.335497748E-1
6.011350200E-2,7.867699862E-1,2.619299889E-1,6.012369990E-1,1.024255954E0
6.512427100E-2,1.030503035E0,3.015559912E-1,1.104861021E0,1.540646097E0
7.013503600E-2,1.249268055E0,3.809530139E-1,1.521662951E0,2.005306462E0
7.514603400E-2,1.378548026E0,4.846470058E-1,1.794317961E0,2.314055817E0
8.015680500E-2,1.403808951E0,5.499879718E-1,1.915745020E0,2.437877216E0
8.516763500E-2,1.355532050E0,5.622799993E-1,1.847597003E0,2.359500079E0
9.017863500E-2,1.237501025E0,5.669069886E-1,1.666159034E0,2.151482802E0
9.518940600E-2,1.048715949E0,5.327519774E-1,1.445305943E0,1.863475002E0
1.002002450E-1,7.930780053E-1,4.526970088E-1,1.201490998E0,1.509134826E0
1.052110170E-1,4.532459974E-1,3.494960070E-1,9.476879835E-1,1.107109709E0
1.102220240E-1,1.597580016E-1,2.484630048E-1,6.850140095E-1,7.459897298E-1
1.152327950E-1,-7.055599988E-2,1.354970038E-1,4.365600049E-1,4.625172700E-1
1.202435500E-1,-2.190189958E-1,1.018899959E-2,1.586550027E-1,2.706372962E-1
1.252543940E-1,-3.096359968E-1,-1.081449986E-1,-6.572400033E-2,3.344987824E-1
1.302653940E-1,-3.445949852E-1,-2.049950063E-1,-2.348680049E-1,4.646844480E-1
1.352761660E-1,-3.351689875E-1,-2.600249946E-1,-4.108349979E-1,5.905392819E-1
1.402870100E-1,-3.202059865E-1,-2.762509882E-1,-5.623499751E-1,7.036220412E-1
1.452977810E-1,-2.818270028E-1,-2.282650024E-1,-6.605719924E-1,7.535825953E-1
1.503087880E-1,-2.121199965E-1,-1.447190046E-1,-6.844409704E-1,7.310252562E-1
1.553195590E-1,-1.441809982E-1,-7.456299663E-2,-6.560429931E-1,6.758255762E-1
1.603304030E-1,-2.682299912E-2,-6.999900192E-2,-5.437189937E-1,5.488621663E-1
1.653413980E-1,1.248650029E-1,-7.080599666E-2,-3.980869949E-1,4.231761024E-1
1.703521700E-1,2.617419958E-1,-6.975799799E-2,-2.451429963E-1,3.653356529E-1
1.753629350E-1,3.946399987E-1,-6.994500011E-2,-1.487479955E-1,4.275032137E-1
1.803737040E-1,4.963220060E-1,-3.211800009E-2,-9.097799659E-2,5.056125942E-1
1.853845480E-1,5.586829782E-1,-1.789500006E-2,-4.303500056E-2,5.606236816E-1
1.903955430E-1,5.871210098E-1,1.357899979E-2,5.737100169E-2,5.900736405E-1
1.954063150E-1,6.059560180E-1,6.933499873E-2,1.960590035E-1,6.406474620E-1
2.004171590E-1,6.643800139E-1,1.959400028E-1,3.758440018E-1,7.880685258E-1
2.054281590E-1,7.431229949E-1,3.466550112E-1,5.231840014E-1,9.726885327E-1
2.104389300E-1,8.562570214E-1,4.728800058E-1,5.546690226E-1,1.124477350E0
2.154497030E-1,9.612609744E-1,5.085129738E-1,4.843330085E-1,1.190456454E0
2.204605470E-1,9.722830057E-1,4.603340030E-1,3.715539873E-1,1.138109838E0
2.254713190E-1,8.569719791E-1,3.378109932E-1,2.613250017E-1,9.575009121E-1
2.304822880E-1,6.630499959E-1,1.690399945E-1,1.698700041E-1,7.050288186E-1
2.354930590E-1,4.133580029E-1,3.522299975E-2,1.142060012E-1,4.302888669E-1
2.405038980E-1,1.554130018E-1,-8.529800177E-2,7.273399830E-2,1.916225058E-1
2.455148980E-1,-1.154460013E-1,-2.489989996E-1,3.538899869E-2,2.767321128E-1
2.505256690E-1,-3.251380026E-1,-4.148879945E-1,4.459400102E-2,5.289947010E-1
2.555365130E-1,-4.550360143E-1,-4.880140126E-1,3.919500113E-2,6.683948675E-1
2.605472850E-1,-5.285379887E-1,-5.269889832E-1,4.096699879E-2,7.474945410E-1
2.655582880E-1,-5.357030034E-1,-5.172740221E-1,-2.355399914E-2,7.450536307E-1
2.705690590E-1,-4.993180037E-1,-4.861350060E-1,-1.015190035E-1,7.042384687E-1
2.755798320E-1,-4.326179922E-1,-4.363439977E-1,-1.642989963E-1,6.360413286E-1
2.805906760E-1,-3.621050119E-1,-3.821290135E-1,-2.000479996E-1,5.631712216E-1
2.856014630E-1,-2.672759891E-1,-3.066830039E-1,-1.779019982E-1,4.440045497E-1
2.906124610E-1,-1.511809975E-1,-2.098699957E-1,-1.076290011E-1,2.801519427E-1
2.956232270E-1,-2.590899915E-2,-8.213900030E-2,2.991100028E-2,9.117433600E-2
3.006340710E-1,9.953799844E-2,6.657700241E-2,1.800030023E-1,2.161975745E-1
3.056448470E-1,2.448569983E-1,2.119890004E-1,2.759670019E-1,4.255021411E-1
3.106558450E-1,4.057239890E-1,3.373390138E-1,3.107570112E-1,6.123556854E-1
3.156666930E-1,5.938130021E-1,4.358569980E-1,3.056930006E-1,7.975170310E-1
