"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.448110300E-2,-4.275960028E-1,4.067229927E-1,2.335800044E-2,5.905992978E-1
4.949279700E-2,-5.030120015E-1,4.563750029E-1,-3.311000019E-2,6.799966831E-1
5.450450300E-2,-5.251139998E-1,5.083280206E-1,-8.305600286E-2,7.355544772E-1
5.951619600E-2,-5.231639743E-1,5.339900255E-1,-8.046399802E-2,7.518778799E-1
6.452786400E-2,-5.301709771E-1,4.734140038E-1,-1.524669975E-1,7.269444747E-1
6.953963100E-2,-5.156009793E-1,3.553250134E-1,-2.414620072E-1,6.711215508E-1
7.455132600E-2,-4.660939872E-1,2.492160052E-1,-2.820110023E-1,5.990679658E-1
7.956323600E-2,-4.243629873E-1,1.288069934E-1,-3.013109863E-1,5.361562244E-1
8.457493000E-2,-3.925000131E-1,-1.545500010E-2,-3.023090065E-1,4.956670785E-1
8.958662200E-2,-3.516210020E-1,-1.452260017E-1,-2.694849968E-1,4.662081982E-1
9.459830500E-2,-3.159500062E-1,-2.700729966E-1,-2.294130027E-1,4.747569439E-1
9.961007200E-2,-2.692170143E-1,-3.636569977E-1,-1.706019938E-1,4.835589447E-1
1.046217660E-1,-1.978729963E-1,-3.901129961E-1,-1.283079982E-1,4.558561339E-1
1.096334590E-1,-1.003319994E-1,-4.044550061E-1,-6.235999987E-2,4.213539268E-1
1.146451510E-1,-5.065000150E-3,-3.947249949E-1,8.055999875E-3,3.948396826E-1
1.196570530E-1,7.654099911E-2,-3.681310117E-1,6.917099655E-2,3.823134749E-1
1.246687470E-1,1.171759963E-1,-3.390739858E-1,1.098179966E-1,3.751817884E-1
1.296804250E-1,1.320330054E-1,-3.052060008E-1,1.309439987E-1,3.573929885E-1
1.346921170E-1,1.333809942E-1,-2.856580019E-1,1.609569937E-1,3.539747696E-1
1.397038090E-1,7.049100101E-2,-2.756569982E-1,1.880870014E-1,3.410754784E-1
1.447155760E-1,-3.860399872E-2,-2.728359997E-1,1.985989958E-1,3.396635285E-1
1.497272760E-1,-1.603240073E-1,-2.700189948E-1,2.022790015E-1,3.735382702E-1
1.547389680E-1,-2.967599928E-1,-2.840180099E-1,1.552200019E-1,4.391195422E-1
1.597506690E-1,-3.920620084E-1,-2.693929970E-1,8.449000120E-2,4.831394887E-1
1.647623620E-1,-4.614650011E-1,-2.596530020E-1,-2.477000002E-3,5.295052070E-1
1.697742830E-1,-5.080739856E-1,-2.499900013E-1,-9.151499718E-2,5.735932098E-1
1.747860440E-1,-5.696859956E-1,-2.451460063E-1,-1.711560041E-1,6.433763096E-1
1.797977360E-1,-6.042259932E-1,-2.068040073E-1,-2.348690033E-1,6.804560213E-1
1.848094290E-1,-5.613830090E-1,-1.852629930E-1,-3.204160035E-1,6.724133212E-1
1.898210970E-1,-4.572980106E-1,-1.756410003E-1,-3.229680061E-1,5.867534103E-1
1.948330180E-1,-3.539719880E-1,-1.730609983E-1,-2.542200089E-1,4.689073366E-1
