"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.208238200E-2,-2.204770088E0,-7.770389915E-1,-1.530749947E-1,2.342697738E0
4.709399500E-2,-2.145741940E0,-8.020920157E-1,-9.273699671E-2,2.292631724E0
5.210546300E-2,-2.116097927E0,-8.140040040E-1,2.500000119E-4,2.267261127E0
5.711715300E-2,-2.101150036E0,-8.200410008E-1,9.256500006E-2,2.257402710E0
6.212877600E-2,-2.061304092E0,-8.082820177E-1,1.777250022E-1,2.221234017E0
6.714023700E-2,-1.981232047E0,-7.431449890E-1,2.171310037E-1,2.127132053E0
7.215186500E-2,-1.869151950E0,-6.728609800E-1,1.960539967E-1,1.996223454E0
7.716332800E-2,-1.806983948E0,-6.213759780E-1,1.996510029E-1,1.921239084E0
8.217499000E-2,-1.772462964E0,-5.862950087E-1,2.179410011E-1,1.879591731E0
8.718668200E-2,-1.736920953E0,-5.486789942E-1,2.063580006E-1,1.833173930E0
9.219806800E-2,-1.721459031E0,-4.940629900E-1,2.215590030E-1,1.804607388E0
9.720966800E-2,-1.774078012E0,-4.633910060E-1,2.115460038E-1,1.845761557E0
1.022213600E-1,-1.795207024E0,-4.589830041E-1,1.906429976E-1,1.862734122E0
1.072328240E-1,-1.779160976E0,-4.136419892E-1,1.964990050E-1,1.837151418E0
1.122444510E-1,-1.780202985E0,-4.112319946E-1,1.815820038E-1,1.836084542E0
1.172559150E-1,-1.767701983E0,-3.989599943E-1,1.834850013E-1,1.821429693E0
1.222676050E-1,-1.739609003E0,-4.030160010E-1,2.062959969E-1,1.797559295E0
1.272792170E-1,-1.708042979E0,-4.018900096E-1,2.237540036E-1,1.768895772E0
1.322906790E-1,-1.675470948E0,-4.050559998E-1,2.592079937E-1,1.743118483E0
1.373022920E-1,-1.602604032E0,-3.743669987E-1,2.845999897E-1,1.670175885E0
1.423139610E-1,-1.520935059E0,-3.480820060E-1,3.211579919E-1,1.592967982E0
1.473254240E-1,-1.463204980E0,-3.095160127E-1,3.618460000E-1,1.538733734E0
1.523371150E-1,-1.377686024E0,-2.802860141E-1,3.949249983E-1,1.460323520E0
1.573487460E-1,-1.255892992E0,-2.245700061E-1,4.325329959E-1,1.347139075E0
1.623602070E-1,-1.175425053E0,-1.784159988E-1,4.441539943E-1,1.269145025E0
1.673718020E-1,-1.065974951E0,-1.370840073E-1,4.561730027E-1,1.167556606E0
1.723832650E-1,-9.624570012E-1,-7.886499912E-2,5.010880232E-1,1.087948700E0
1.773948690E-1,-8.622869849E-1,-2.516699955E-2,5.662059784E-1,1.031872779E0
1.824065610E-1,-7.860289812E-1,-6.920999847E-3,6.602129936E-1,1.026533320E0
1.874180250E-1,-7.073630095E-1,1.979999943E-3,7.171229720E-1,1.007289285E0
1.924296380E-1,-6.100130081E-1,2.297299914E-2,7.565490007E-1,9.721162581E-1
1.974411020E-1,-4.828320146E-1,7.724100351E-2,7.513740063E-1,8.964685294E-1
2.024527730E-1,-3.728919923E-1,1.096839979E-1,7.282599807E-1,8.254947709E-1
2.074643900E-1,-2.750630081E-1,1.490280032E-1,7.015380263E-1,7.681305921E-1
2.124758370E-1,-1.795540005E-1,1.831970066E-1,6.502060294E-1,6.989768687E-1
2.174875270E-1,-1.234069988E-1,1.930170059E-1,5.793020129E-1,6.229572009E-1
2.224991310E-1,-1.126540005E-1,1.906789988E-1,5.428590178E-1,5.862979769E-1
2.275105920E-1,-1.250610054E-1,1.666280031E-1,5.025449991E-1,5.440189543E-1
2.325222910E-1,-1.693609953E-1,1.113540009E-1,4.605309963E-1,5.031616627E-1
2.375336780E-1,-2.237550020E-1,6.319899857E-2,4.333150089E-1,4.917543200E-1
2.425453680E-1,-2.554669976E-1,-1.861900091E-2,3.830490112E-1,4.607999556E-1
2.475569750E-1,-2.883229852E-1,-1.077120006E-1,3.381370008E-1,4.572402543E-1
2.525684380E-1,-3.199909925E-1,-2.013760060E-1,3.425540030E-1,5.101860211E-1
2.575801390E-1,-3.340530097E-1,-2.805320024E-1,3.439109921E-1,5.554857228E-1
2.625917560E-1,-3.519330025E-1,-3.760359883E-1,3.768869936E-1,6.382035010E-1
2.676032180E-1,-3.526040018E-1,-4.377360046E-1,4.084410071E-1,6.948139665E-1
2.726148110E-1,-3.758360147E-1,-5.113430023E-1,3.920179904E-1,7.459239108E-1
2.776262750E-1,-4.278799891E-1,-5.967540145E-1,3.894400001E-1,8.311799760E-1
2.826379850E-1,-4.915739894E-1,-7.012569904E-1,3.630070090E-1,9.301507632E-1
2.876496020E-1,-5.343620181E-1,-7.508630157E-1,3.160170019E-1,9.742714099E-1
2.926610680E-1,-5.592120290E-1,-7.862880230E-1,2.749179900E-1,1.003268085E0
2.976727580E-1,-6.035469770E-1,-8.197330236E-1,1.979340017E-1,1.037019312E0
3.026843760E-1,-6.783580184E-1,-8.583070040E-1,1.208399981E-1,1.100664717E0
